gene_ID subst L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043516.1 dN.dnd 0.0776262 0.052702 0.0969344 0.132566 0.0802259 0.0882224 0.0714376 0.0585062
NM_001043516.1 dS.dnd 0.617643 0.441047 0.657542 0.590245 0.62514 0.554837 0.598294 0.330864
NM_001043520.1 dS.dnd 0.525505 0.410464 0.451101 0.521159 0.43813 0.409912 0.335804 0.332122
NM_001043520.1 dN.dnd 0.000633118 0.00509887 0.0103757 0.000811544 0.000412033 0.000424263 0.0054393 0.00386278
NM_001043522.1 dN.dnd 0.117421 0.121431 0.132685 0.206589 0.109997 0.116548 0.128232 0.0613864
NM_001043522.1 dS.dnd 0.560689 0.456537 0.577276 0.717017 0.596795 0.688075 0.574223 0.315047
NM_001043526.1 dS.dnd 0.594608 0.471125 0.618441 0.609338 0.605543 0.499813 0.618703 0.324121
NM_001043526.1 dN.dnd 0.0449751 0.036842 0.0554512 0.0439247 0.0431243 0.0369677 0.0433262 0.0335875
NM_001043530.2 dS.dnd 0.648589 0.516537 0.683901 0.674827 0.673148 0.604985 0.667659 0.40287
NM_001043530.2 dN.dnd 0.160133 0.0826201 0.109538 0.214263 0.0724434 0.126772 0.134417 0.0582687
NM_001043531.1 dS.dnd 0.501295 0.36772 0.557417 0.557313 0.516601 0.432209 0.505786 0.298928
NM_001043531.1 dN.dnd 0.0109639 0.00428264 0.0103313 0.0176789 0.00719922 0.00623683 0.0103155 0.00481454
NM_001043532.1 dN.dnd 0.0591645 0.0404831 0.039595 0.0418137 0.0496595 0.0631939 0.0452665 0.0197077
NM_001043532.1 dS.dnd 0.509502 0.378461 0.578667 0.450788 0.444196 0.509386 0.444114 0.30718
NM_001043534.1 dN.dnd 0.038203 0.0343503 0.0430485 0.0408349 0.0337712 0.00775006 0.0621081 0.0282819
NM_001043534.1 dS.dnd 0.508234 0.315634 0.518729 0.632446 0.608934 0.50205 0.513898 0.316627
NM_001043535.2 dN.dnd 0.0534038 0.0291414 0.0727693 0.107602 0.115387 0.027518 0.0771301 0.0985083
NM_001043535.2 dS.dnd 0.73066 0.376695 0.713223 0.715643 0.551025 0.55218 0.602817 0.384748
NM_001043543.1 dS.dnd 0.49367 0.330368 0.458464 0.571713 0.415004 0.469201 0.485336 0.276284
NM_001043543.1 dN.dnd 0.0303187 0.0140436 0.0272998 0.019762 0.0220677 0.0168667 0.0188805 0.0107479
NM_001043549.1 dN.dnd 0.0525317 0.0306692 0.0451359 0.0960332 0.0430859 0.0555861 0.056435 0.0331184
NM_001043549.1 dS.dnd 0.57321 0.409762 0.570638 0.615085 0.540609 0.568611 0.600501 0.322767
NM_001043553.1 dS.dnd 0.563195 0.493357 0.584374 0.6897 0.540738 0.632383 0.560724 0.33631
NM_001043553.1 dN.dnd 0.0421825 0.023745 0.0364509 0.0600143 0.0317192 0.0476222 0.0695354 0.0276986
NM_001043583.1 dN.dnd 0.011608 0.0127911 0.0345455 0.0217826 0.0128819 0.0207925 0.0271131 0.0141302
NM_001043583.1 dS.dnd 0.4136 0.268459 0.511332 0.366572 0.438962 0.368318 0.32982 0.25698
NM_001043585.1 dN.dnd 0.0488469 0.0285639 0.0212249 0.0620483 0.0564794 0.0379112 0.0226721 0.0298078
NM_001043585.1 dS.dnd 0.676367 0.448404 0.573909 0.683794 0.612875 0.515116 0.670305 0.308658
NM_001043589.1 dS.dnd 0.527975 0.440875 0.496039 0.591039 0.580771 0.49317 0.450821 0.299723
NM_001043589.1 dN.dnd 0.0466676 0.0261779 0.0448698 0.0306744 0.0462085 0.0397409 0.0299222 0.0277424
NM_001043594.1 dN.dnd 0.0206204 0.0588395 0.0191494 0.0224341 0.0128574 0.00861603 0.0107393 0.0104765
NM_001043594.1 dS.dnd 0.585613 0.444007 0.569512 0.57439 0.533711 0.572822 0.519875 0.314284
NM_001043595.1 dN.dnd 0.00934361 0.00820393 0.00834986 0.0337269 0.0077168 0.00894129 0.0193254 0.019769
NM_001043595.1 dS.dnd 0.601919 0.403306 0.657527 0.626082 0.539662 0.613312 0.608024 0.305569
NM_001043609.2 dN.dnd 0.139358 0.14235 0.160137 0.156627 0.112767 0.168669 0.135375 0.057159
NM_001043609.2 dS.dnd 0.614694 0.459568 0.60224 0.778116 0.652664 0.484598 0.727345 0.333922
NM_001043610.1 dN.dnd 0.0319813 0.0227199 0.0357471 0.021336 0.0486863 0.0439006 0.0165619 0.0143337
NM_001043610.1 dS.dnd 0.459054 0.337316 0.484077 0.477004 0.4554 0.481588 0.458712 0.301486
NM_001043619.1 dN.dnd 0.06815 0.0371526 0.0449104 0.0795282 0.0276759 0.0558958 0.0293899 0.0281892
NM_001043619.1 dS.dnd 0.432026 0.50936 0.561141 0.606629 0.533991 0.591036 0.365347 0.337581
NM_001043622.1 dN.dnd 0.00931552 0.00023411 0.00199718 0.00370143 0.000455469 0.000419439 0.00531324 0.00735191
NM_001043622.1 dS.dnd 0.4843 0.360673 0.518344 0.468162 0.386722 0.35776 0.486872 0.274691
NM_001043629.1 dS.dnd 0.477711 0.39278 0.522643 0.620891 0.563382 0.477001 0.502858 0.311302
NM_001043629.1 dN.dnd 0.0171589 0.00827361 0.033741 0.0233736 0.0224745 0.0173574 0.0158056 0.010774
NM_001043634.1 dN.dnd 0.103583 0.065823 0.0745976 0.138616 0.0984444 0.140888 0.104246 0.100023
NM_001043634.1 dS.dnd 0.588377 0.323936 0.460626 0.63491 0.504256 0.472718 0.462712 0.372671
NM_001043637.1 dS.dnd 0.627203 0.472226 0.46362 0.754258 0.512955 0.587427 0.573227 0.357783
NM_001043637.1 dN.dnd 0.0152559 0.0193375 0.0330486 0.0721379 0.0216828 0.0586392 0.0297748 0.0478408
NM_001043643.1 dS.dnd 0.228382 0.290012 0.432254 0.495016 0.354046 0.187931 0.233612 0.207637
NM_001043643.1 dN.dnd 0.00915744 0.014222 0.0195437 0.0234778 0.0152392 0.0186632 0.0233983 0.00449138
NM_001043646.1 dN.dnd 0.0111068 0.00923876 0.00377016 0.0112018 0.000674171 0.00935808 0.0142437 0.00263735
NM_001043646.1 dS.dnd 0.56708 0.327338 0.491016 0.476585 0.501557 0.464959 0.428096 0.320831
NM_001043649.1 dN.dnd 0.00347743 0.000323138 0.000546932 0.000590942 0.000397122 0.0032584 0.000443674 0.00032157
NM_001043649.1 dS.dnd 0.422436 0.359042 0.505304 0.545726 0.37922 0.344855 0.452525 0.296407
NM_001043655.1 dS.dnd 0.530538 0.498175 0.53164 0.687156 0.683151 0.580057 0.636586 0.387463
NM_001043655.1 dN.dnd 0.0943534 0.0628645 0.0506965 0.0705206 0.213308 0.0987662 0.128385 0.0437665
NM_001043658.1 dN.dnd 0.0172466 0.0162029 0.0128589 0.0140038 0.00540084 0.0104377 0.0102992 0.0130549
NM_001043658.1 dS.dnd 0.372948 0.242889 0.50065 0.443695 0.366926 0.412105 0.414126 0.271688
NM_001043661.1 dS.dnd 0.434288 0.340296 0.478733 0.531079 0.405177 0.408706 0.481219 0.279081
NM_001043661.1 dN.dnd 0.00282018 0.00633445 0.0168899 0.0122376 0.0105575 0.0064726 0.00873819 0.00387564
NM_001043670.1 dS.dnd 0.460409 0.311672 0.584314 0.537488 0.424804 0.355591 0.408195 0.30927
NM_001043670.1 dN.dnd 0.0196801 0.0138257 0.0336582 0.0246753 0.0096754 0.0112087 0.0307877 0.0181249
NM_001043673.1 dN.dnd 0.0124564 0.000581066 0.0113668 0.0101594 0.0110412 0.00605605 0.0245836 0.00454196
NM_001043673.1 dS.dnd 0.3738 0.31601 0.604498 0.396371 0.468727 0.440964 0.458347 0.178256
NM_001043676.1 dS.dnd 0.428974 0.334855 0.542849 0.469231 0.374085 0.353706 0.461268 0.269057
NM_001043676.1 dN.dnd 0.00244426 0.000378111 0.0058396 0.00567524 0.00200554 0.00236988 0.00972202 0.00109965
NM_001043685.1 dN.dnd 0.01113 0.00729836 0.00766967 0.0152629 0.0279016 0.014745 0.0256527 0.0100711
NM_001043685.1 dS.dnd 0.409002 0.329343 0.47799 0.596009 0.396668 0.45307 0.474577 0.288263
NM_001043688.1 dS.dnd 0.613319 0.362618 0.564267 0.515049 0.448883 0.442603 0.501944 0.302361
NM_001043688.1 dN.dnd 0.00753119 0.0178397 0.0191884 0.00974324 0.0155018 0.0166013 0.00770451 0.0109537
NM_001043691.1 dS.dnd 0.394269 0.359272 0.513577 0.483455 0.444011 0.369121 0.468385 0.27238
NM_001043691.1 dN.dnd 0.0181671 0.0096594 0.0232092 0.00915483 0.00978926 0.00545127 0.0162289 0.021185
NM_001043694.1 dN.dnd 0.0723275 0.0343038 0.132031 0.0593789 0.00244633 0.0386675 0.0505109 0.0254371
NM_001043694.1 dS.dnd 0.543864 0.41493 0.601474 0.598959 0.471707 0.401352 0.527829 0.293097
NM_001043706.1 dN.dnd 0.0915758 0.0290019 0.0310173 0.0576779 0.0607369 0.0481493 0.0368216 0.0306764
NM_001043706.1 dS.dnd 0.492427 0.323881 0.549985 0.496777 0.49692 0.430609 0.490293 0.259735
NM_001043721.1 dS.dnd 0.658039 0.470885 0.683992 0.724826 0.584528 0.632017 0.577062 0.301821
NM_001043721.1 dN.dnd 0.0754035 0.0546654 0.0574434 0.153545 0.106608 0.0592756 0.0881693 0.0596032
NM_001043730.1 dS.dnd 0.575187 0.558022 0.628147 0.627752 0.62307 0.653632 0.585392 0.339013
NM_001043730.1 dN.dnd 0.125004 0.0386421 0.104652 0.0763345 0.0878057 0.0713473 0.181079 0.0361551
NM_001043746.1 dN.dnd 0.0194067 0.00851409 0.0314554 0.044033 0.0208584 0.0305805 0.0192649 0.0158616
NM_001043746.1 dS.dnd 0.549817 0.441351 0.539646 0.617191 0.521022 0.518178 0.555786 0.272449
NM_001043750.2 dN.dnd 0.00389428 0.000202621 0.000497929 0.000646081 0.0276145 0.00393803 0.000526356 0.000300022
NM_001043750.2 dS.dnd 0.439063 0.188542 0.404114 0.434278 0.352522 0.312781 0.459697 0.288246
NM_001043752.1 dS.dnd 0.475214 0.324376 0.521974 0.471647 0.401737 0.355551 0.473928 0.345139
NM_001043752.1 dN.dnd 0.00859681 0.00855169 0.0159793 0.0084989 0.0161671 0.00848373 0.0136777 0.0170556
NM_001043754.1 dS.dnd 0.421541 0.334563 0.578847 0.555046 0.438666 0.370911 0.366793 0.329435
NM_001043754.1 dN.dnd 0.015972 0.00612764 0.0222615 0.018972 0.0192097 0.00785016 0.0204351 0.00492025
NM_001043756.4 dS.dnd 0.406895 0.235356 0.579566 0.417293 0.314341 0.311862 0.327132 0.200326
NM_001043756.4 dN.dnd 0.000478181 0.00267248 0.00778064 0.000590367 0.000646876 0.000572515 0.00285167 0.00339224
NM_001043760.1 dS.dnd 0.534878 0.282286 0.564476 0.519483 0.391391 0.391952 0.45066 0.256766
NM_001043760.1 dN.dnd 0.0123483 0.00137257 0.0177076 0.00386624 0.0166402 0.00761922 0.0194844 0.00729236
NM_001043762.1 dN.dnd 0.000418112 0.000200474 0.000474089 0.000575828 0.000372871 0.000318326 0.00385054 0.000276649
NM_001043762.1 dS.dnd 0.389888 0.254199 0.499087 0.404801 0.391082 0.303953 0.390339 0.190701
NM_001043766.1 dS.dnd 0.508186 0.388549 0.549675 0.469614 0.459862 0.382838 0.476441 0.306619
NM_001043766.1 dN.dnd 0.00839242 0.0148254 0.00950631 0.0062229 0.0145324 0.00603092 0.01213 0.00357749
NM_001043776.1 dS.dnd 0.51936 0.438421 0.603142 0.55643 0.506863 0.51946 0.627757 0.301707
NM_001043776.1 dN.dnd 0.00409554 0.0186954 0.015207 0.00796971 0.00762872 0.000410889 0.00423506 0.00183652
NM_001043780.1 dS.dnd 0.472049 0.377275 0.496498 0.400648 0.425961 0.271352 0.475949 0.264708
NM_001043780.1 dN.dnd 0.0110693 0.017907 0.0140631 0.00444145 0.000467107 0.0119037 0.0164232 0.00471017
NM_001043788.1 dS.dnd 0.460248 0.407481 0.618078 0.584024 0.412947 0.439989 0.458068 0.320433
NM_001043788.1 dN.dnd 0.00324053 0.000329811 0.00548962 0.00550304 0.00287411 0.00539597 0.000833616 0.000411857
NM_001043790.1 dS.dnd 0.438497 0.290535 0.502022 0.550018 0.442238 0.409563 0.398985 0.288384
NM_001043790.1 dN.dnd 0.0131675 0.00434953 0.0167444 0.00715985 0.0156984 0.0042871 0.00697023 0.00400121
NM_001043792.1 dN.dnd 0.00294605 0.025092 0.0049627 0.00200786 0.00104779 0.00516914 0.00661225 0.00671863
NM_001043792.1 dS.dnd 0.527316 0.483959 0.647588 0.524436 0.566734 0.455291 0.451584 0.357281
NM_001043798.1 dS.dnd 0.501505 0.391312 0.519057 0.509218 0.425141 0.451669 0.481041 0.316613
NM_001043798.1 dN.dnd 0.0102062 0.0424962 0.0110185 0.0199968 0.0120218 0.0051116 0.0103286 0.0195802
NM_001043800.1 dS.dnd 0.37407 0.234528 0.425592 0.516314 0.372211 0.415054 0.485225 0.289061
NM_001043800.1 dN.dnd 0.00265844 0.000236744 0.000519903 0.000856363 0.00288601 0.000429369 0.0106911 0.00060081
NM_001043802.1 dN.dnd 0.00707339 0.00247739 0.0080907 0.0042039 0.00046711 0.0067639 0.00687593 0.00034001
NM_001043802.1 dS.dnd 0.444557 0.358515 0.529117 0.572382 0.329942 0.320506 0.450861 0.241505
NM_001043804.2 dN.dnd 0.00335591 0.000228379 0.000784957 0.000633224 0.0075247 0.000529829 0.00662538 0.000767805
NM_001043804.2 dS.dnd 0.44807 0.313578 0.639246 0.431113 0.540074 0.365881 0.440507 0.268658
NM_001043808.1 dS.dnd 0.24227 0.260423 0.566672 0.525889 0.371861 0.316094 0.383364 0.258517
NM_001043808.1 dN.dnd 0.00258444 0.000320796 0.000634578 0.00355148 0.00356647 0.000607412 0.00626339 0.00379976
NM_001043824.1 dS.dnd 0.673991 0.50384 0.668102 0.77969 0.585271 0.472679 0.591614 0.349492
NM_001043824.1 dN.dnd 0.0299964 0.0299945 0.0350503 0.112549 0.0114381 0.0152681 0.0552144 0.0430154
NM_001043834.1 dS.dnd 0.561911 0.430829 0.702239 0.703031 0.575659 0.521047 0.566462 0.314597
NM_001043834.1 dN.dnd 0.0187262 0.0350559 0.0892565 0.071214 0.0420883 0.0180217 0.0459117 0.0194437
NM_001043836.1 dN.dnd 0.026569 0.010811 0.0122648 0.0406612 0.0481818 0.01255 0.0220979 0.0366445
NM_001043836.1 dS.dnd 0.40493 0.294328 0.528514 0.506667 0.466541 0.480799 0.450067 0.255526
NM_001043844.1 dN.dnd 0.123289 0.100909 0.105851 0.153858 0.122768 0.107232 0.105226 0.0845867
NM_001043844.1 dS.dnd 0.596363 0.49676 0.585808 0.699591 0.581579 0.557391 0.597483 0.336534
NM_001043850.1 dS.dnd 0.54377 0.363939 0.624412 0.620792 0.634242 0.437244 0.521288 0.278606
NM_001043850.1 dN.dnd 0.0108953 0.00581569 0.0168276 0.0732637 0.00901669 0.0120808 0.0370993 0.0147482
NM_001043858.1 dS.dnd 0.540805 0.365505 0.586463 0.676486 0.426056 0.388371 0.568601 0.267972
NM_001043858.1 dN.dnd 0.0307937 0.00895584 0.0274335 0.021371 0.0126007 0.00792391 0.0199271 0.0183796
NM_001043860.1 dN.dnd 0.0555524 0.0507783 0.0433054 0.0526661 0.0461276 0.0417184 0.0463465 0.0296142
NM_001043860.1 dS.dnd 0.614334 0.489438 0.604383 0.673399 0.561043 0.528821 0.592896 0.31659
NM_001043864.1 dS.dnd 0.230691 0.259348 0.415088 0.295092 0.477965 0.41333 0.290111 0.242827
NM_001043864.1 dN.dnd 0.0179881 0.00980568 0.0259068 0.041828 0.0245524 0.0049848 0.00942811 0.0158667
NM_001043870.1 dN.dnd 0.0731511 0.132956 0.0736301 0.122761 0.0775382 0.0832397 0.0917924 0.0318661
NM_001043870.1 dS.dnd 0.48853 0.387458 0.479191 0.543718 0.603913 0.622371 0.654017 0.271628
NM_001043872.1 dS.dnd 0.46734 0.423308 0.601253 0.547594 0.453847 0.638781 0.687495 0.332505
NM_001043872.1 dN.dnd 0.0557372 0.0295756 0.0493335 0.0749988 0.0433061 0.0382955 0.0364952 0.0255402
NM_001043874.1 dS.dnd 0.538828 0.487656 0.622444 0.626899 0.580481 0.574601 0.587092 0.341508
NM_001043874.1 dN.dnd 0.0164702 0.0183106 0.0415845 0.0277567 0.0471027 0.0164557 0.0245575 0.00825111
NM_001043876.1 dN.dnd 0.0117814 0.0103436 0.0154024 0.0211526 0.0137856 0.0117065 0.0120462 0.00863143
NM_001043876.1 dS.dnd 0.402208 0.333514 0.475327 0.51439 0.476727 0.454525 0.572763 0.286362
NM_001043878.2 dN.dnd 0.0720677 0.0799117 0.113775 0.0851073 0.059601 0.0511301 0.132789 0.0262797
NM_001043878.2 dS.dnd 0.648509 0.456444 0.649394 0.659208 0.536212 0.598273 0.547848 0.336372
NM_001043880.1 dN.dnd 0.0244912 0.00776584 0.00842798 0.013508 0.0172446 0.0145947 0.0161545 0.0123931
NM_001043880.1 dS.dnd 0.653709 0.472099 0.583948 0.62168 0.557641 0.526943 0.580009 0.348389
NM_001043882.1 dS.dnd 0.510458 0.453747 0.576861 0.685686 0.637679 0.529533 0.546231 0.428052
NM_001043882.1 dN.dnd 0.0354469 0.0280221 0.0648885 0.0425203 0.0183515 0.0431883 0.0549925 0.0223992
NM_001043899.2 dN.dnd 0.0674148 0.029925 0.0208482 0.0388567 0.00385048 0.00716608 0.0729709 0.0143043
NM_001043899.2 dS.dnd 0.478884 0.325924 0.514004 0.475483 0.418384 0.361616 0.419545 0.251513
NM_001043913.1 dN.dnd 0.0806276 0.0266302 0.0245765 0.0392956 0.0367162 0.025374 0.0453701 0.0263901
NM_001043913.1 dS.dnd 0.631105 0.43146 0.61922 0.624176 0.599727 0.539278 0.546302 0.30147
NM_001043917.1 dS.dnd 0.508207 0.433854 0.556502 0.59941 0.498932 0.475398 0.552145 0.37984
NM_001043917.1 dN.dnd 0.0296655 0.0198193 0.0309973 0.043294 0.0362531 0.0215375 0.0310369 0.0313101
NM_001043925.2 dS.dnd 0.56453 0.449663 0.518438 0.509526 0.393375 0.464526 0.522582 0.262537
NM_001043925.2 dN.dnd 0.00856502 0.000473189 0.0112511 0.011042 0.00545624 0.00605843 0.00047401 0.000319401
NM_001043939.1 dN.dnd 0.0149721 0.00724602 0.0241706 0.0246651 0.0149182 0.00537213 0.0192267 0.00863174
NM_001043939.1 dS.dnd 0.544401 0.463443 0.590026 0.575811 0.453704 0.555948 0.578666 0.348344
NM_001043941.1 dS.dnd 0.592893 0.505526 0.634395 0.709316 0.595097 0.524333 0.616348 0.323873
NM_001043941.1 dN.dnd 0.103775 0.122267 0.138643 0.149502 0.104115 0.0983087 0.11088 0.0528491
NM_001043943.2 dN.dnd 0.0353819 0.036212 0.058461 0.0543958 0.0292698 0.0286978 0.0394004 0.0208561
NM_001043943.2 dS.dnd 0.631942 0.434621 0.573205 0.704571 0.577003 0.568209 0.565206 0.313803
NM_001043949.1 dS.dnd 0.622765 0.483742 0.620579 0.670057 0.619864 0.559471 0.611963 0.356521
NM_001043949.1 dN.dnd 0.0447033 0.0348723 0.0773495 0.0865759 0.0749335 0.0551645 0.0401351 0.0370843
NM_001043953.2 dN.dnd 0.0143892 0.0101074 0.0239309 0.0279621 0.0138831 0.0101282 0.013603 0.0104845
NM_001043953.2 dS.dnd 0.514475 0.512814 0.645315 0.827997 0.553556 0.532316 0.607817 0.336004
NM_001043965.1 dS.dnd 0.645587 0.482161 0.568908 0.626245 0.545819 0.542341 0.593801 0.342189
NM_001043965.1 dN.dnd 0.0960457 0.0458566 0.0580434 0.0931179 0.0657716 0.0696666 0.0717172 0.0405313
NM_001043969.1 dN.dnd 0.0706943 0.0639068 0.044756 0.109485 0.0497863 0.0382295 0.0749096 0.0251854
NM_001043969.1 dS.dnd 0.647786 0.495411 0.562952 0.719694 0.517195 0.566096 0.587924 0.314836
NM_001043971.1 dN.dnd 0.00921261 0.00755341 0.00411251 0.0197515 0.00718736 0.00590747 0.0108159 0.00409814
NM_001043971.1 dS.dnd 0.401597 0.313408 0.491022 0.472524 0.505465 0.576921 0.507624 0.342094
NM_001043975.1 dS.dnd 0.609738 0.489784 0.621935 0.648381 0.562616 0.611834 0.587643 0.27715
NM_001043975.1 dN.dnd 0.0735654 0.0428627 0.0776074 0.0726033 0.0440393 0.0536388 0.0473546 0.0362786
NM_001043977.1 dN.dnd 0.0328567 0.0344303 0.0348378 0.0369879 0.0690882 0.0306219 0.0287364 0.0303051
NM_001043977.1 dS.dnd 0.60913 0.489454 0.58482 0.556386 0.587711 0.512643 0.559225 0.311963
NM_001043983.1 dS.dnd 0.712617 0.520249 0.564689 0.701 0.549639 0.581692 0.622417 0.248433
NM_001043983.1 dN.dnd 0.216317 0.0173462 0.0487616 0.175761 0.0619728 0.0593619 0.092702 0.0768535
NM_001043985.1 dS.dnd 0.683066 0.541739 0.652511 0.691455 0.646339 0.593444 0.592457 0.306334
NM_001043985.1 dN.dnd 0.226522 0.127749 0.125204 0.157384 0.179384 0.137299 0.126199 0.0760284
