gene_ID length
NM_001045492.1 108
NM_001046638.1 103
NM_001046639.1 219
NM_001046642.1 323
NM_001046643.1_2 531
NM_001046644.1 237
NM_001046647.1 112
NM_001046650.1 189
NM_001046652.1 163
NM_001046654.1 241
NM_001046655.2 337
NM_001046656.1 125
NM_001046658.1 253
NM_001046659.1 198
NM_001046660.1 144
NM_001046661.1 124
NM_001046663.1 189
NM_001046666.1 188
NM_001046667.1 322
NM_001046669.2 404
NM_001046673.1 126
NM_001046677.1 254
NM_001046678.1 72
NM_001046682.1 117
NM_001046688.1 243
NM_001046691.1 159
NM_001046698.1 182
NM_001046699.1 126
NM_001046701.1 180
NM_001046702.1 146
NM_001046703.1 146
NM_001046705.1 176
NM_001046707.1 161
NM_001046708.1 75
NM_001046711.1 146
NM_001046714.1 158
NM_001046719.1 99
NM_001046720.1 179
NM_001046721.1 246
NM_001046726.1 159
NM_001046729.1 235
NM_001046731.1 108
NM_001046735.1 90
NM_001046737.1 81
NM_001046739.1 249
NM_001046740.1 101
NM_001046741.1 135
NM_001046744.1 214
NM_001046745.1 136
NM_001046747.1 133
NM_001046748.1 214
NM_001046749.1 184
NM_001046752.1 148
NM_001046754.1 57
NM_001046757.1 167
NM_001046758.1 242
NM_001046765.1 63
NM_001046768.1 215
NM_001046773.1 197
NM_001046776.1 183
NM_001046777.1 305
NM_001046781.1 71
NM_001046786.1 186
NM_001046787.1 223
NM_001046789.1 114
NM_001046790.1 219
NM_001046796.1 142
NM_001046801.1 134
NM_001046804.1 145
NM_001046805.1 72
NM_001046808.1 238
NM_001046809.1 213
NM_001046810.1 84
NM_001046813.1 142
NM_001046815.1 178
NM_001046816.1 291
NM_001046818.1 126
NM_001046821.1 243
NM_001046822.1 117
NM_001046827.1 112
NM_001046828.1 303
NM_001046832.1 205
NM_001046833.1 197
NM_001046834.1 104
NM_001046835.1 375
NM_001046836.1 389
NM_001046837.1 163
NM_001046839.1 148
NM_001046841.1 143
NM_001046844.1 145
NM_001046845.1 116
NM_001046850.1 455
NM_001046851.1 202
NM_001046852.1_2 148
NM_001046853.1 368
NM_001046854.1 200
NM_001046855.1 441
NM_001046857.1 463
NM_001046862.1 168
NM_001046863.1 197
NM_001046865.1 139
NM_001046866.1 78
NM_001046867.1 190
NM_001046869.1 615
NM_001046871.1 274
NM_001046872.1 381
NM_001046873.1 323
NM_001046875.1_1 484
NM_001046876.1 77
NM_001046879.1 197
NM_001046880.1 266
NM_001046881.1 119
NM_001046883.1 85
NM_001046884.1 130
NM_001046888.1 120
NM_001046889.1 210
NM_001046891.1 193
NM_001046892.1 436
NM_001046893.1 157
NM_001046894.1_2 173
NM_001046895.1 255
NM_001046896.1 233
NM_001046898.1 121
NM_001046900.1 47
NM_001046901.1 333
NM_001046902.1 202
NM_001046904.1 221
NM_001046907.1 188
NM_001046909.1 219
NM_001046910.1 283
NM_001046912.1 256
NM_001046914.1 185
NM_001046916.1 269
NM_001046917.1 76
NM_001046919.1 124
NM_001046920.1 180
NM_001046921.1 158
NM_001046922.1 124
NM_001046924.1 141
NM_001046927.1 167
NM_001046932.1 157
NM_001046936.1 173
NM_001046937.1 213
NM_001046938.1 67
NM_001046941.1 284
NM_001046942.1 159
NM_001046943.1 139
NM_001046944.1 109
NM_001046945.1 205
NM_001046946.1 396
NM_001046947.1 121
NM_001046952.1 98
NM_001046958.1 118
NM_001046959.1 254
NM_001046964.1 348
NM_001046966.1_2 121
NM_001046968.1 325
NM_001046969.2 265
NM_001046972.1 57
NM_001046974.1 156
NM_001046975.1 188
NM_001046976.1 145
NM_001046979.1 227
NM_001046983.1 46
NM_001046986.1 163
NM_001046989.1 60
NM_001046990.1 336
NM_001046993.2 149
NM_001046994.1 136
NM_001046996.1 87
NM_001046998.1 108
NM_001046999.1 147
NM_001047004.1 290
NM_001047005.1 209
NM_001047006.1 204
NM_001047008.1 171
NM_001047009.1 138
NM_001047011.1 178
NM_001047013.1 157
NM_001047014.1 205
NM_001047018.1 350
NM_001047019.1 177
NM_001047022.1 155
NM_001047029.1 169
NM_001047030.1 129
NM_001047032.1 270
NM_001047033.1 66
NM_001047034.1 17
NM_001047036.1 195
NM_001047037.1 250
NM_001047044.1 302
NM_001047045.1 148
NM_001047046.1 241
NM_001047052.1 245
NM_001047053.1 31
NM_001047057.1 198
NM_001047058.1 177
NM_001047059.1 166
NM_001047060.2 394
NM_001047061.1 208
NM_001047063.1 198
NM_001047071.1 274
NM_001047073.1 121
NM_001047075.1 310
NM_001047076.1 149
NM_001048214.1 175
NM_001048238.1 310
NM_001079652.1 119
NM_001083609.2 516
NM_001098277.1 214
NM_001098278.1 288
NM_001098280.1 103
NM_001098281.1 55
NM_001098282.1 133
NM_001098284.1 151
NM_001098290.1 268
NM_001098292.1 155
NM_001098294.1 55
NM_001098297.1 183
NM_001098300.1 114
NM_001098304.1 164
NM_001098305.1 106
NM_001098306.1 501
NM_001098307.1 555
NM_001098329.1 431
NM_001098337.1 383
NM_001098340.1 337
NM_001098341.1 170
NM_001098343.1 59
NM_001098344.1 96
NM_001098350.2 193
NM_001098352.1 112
NM_001098355.1 110
NM_001098357.1 138
NM_001098359.1 254
NM_001098361.1 336
NM_001098363.1 219
NM_001099606.1 74
NM_001099607.1 70
NM_001099608.1 146
NM_001099610.1 144
NM_001099611.1_1 111
NM_001099618.1 97
NM_001099620.1 179
NM_001099621.1 86
NM_001099796.1 117
NM_001099798.1 130
NM_001099801.1_2 306
NM_001099804.1 69
NM_001099805.1 278
NM_001099808.1 97
NM_001099809.1 173
NM_001099817.1 82
NM_001099819.1 116
NM_001099825.1 204
NM_001099834.1 248
NM_001099835.1 169
NM_001099837.1 343
NM_001099839.1 208
NM_001099845.1 228
NM_001099849.1 110
NM_001102463.1 331
NM_001102465.1 444
NM_001104597.2 441
NM_001105222.1 165
NM_001109918.1 463
NM_001109920.1 286
NM_001109925.1 544
NM_001109927.1 334
NM_001109929.1 359
NM_001110292.1 286
NM_001110298.1 173
NM_001110352.1 104
NM_001110353.1 355
NM_001111326.1 182
NM_001111362.2 108
NM_001111363.1_1 391
NM_001112673.1 176
NM_001112746.1 240
NM_001112748.1_2 96
NM_001112749.1 141
NM_001112750.1 410
NM_001112751.1 109
NM_001112752.1 535
NM_001112754.1 134
NM_001112759.1 90
NM_001113263.1 507
NM_001113264.1 499
NM_001113266.1 108
NM_001113267.1 249
NM_001113276.2 739
NM_001114864.1 386
NM_001114868.1 342
NM_001114870.1 197
NM_001114874.1 183
NM_001114934.1 120
NM_001114984.1 354
NM_001114987.1 154
NM_001114991.1 222
NM_001114999.1 324
NM_001115003.1 199
NM_001123340.1 198
NM_001123341.1 238
NM_001123342.2 512
NM_001123344.1 223
NM_001123349.1 564
NM_001123350.2 421
NM_001126247.1 264
NM_001127720.1 179
NM_001130877.1 265
NM_001130881.1 168
NM_001130891.1 109
NM_001130897.1 60
NM_001130899.1 263
NM_001130901.1 137
NM_001130902.1 326
NM_001130905.1 188
NM_001134239.1 272
NM_001134243.1 264
NM_001134246.1 231
NM_001134253.1 71
NM_001134258.1 301
NM_001134260.1 31
NM_001134262.1 13
NM_001134267.1 264
NM_001134270.1 356
NM_001134271.1 141
NM_001134274.1 180
NM_001134275.1 207
NM_001134916.1 231
NM_001135203.1 245
NM_001135883.1 287
NM_001135884.1 369
NM_001135885.1 280
NM_001135887.1 269
NM_001135888.1 226
NM_001135889.1 180
NM_001142487.1 83
NM_001142489.1 251
NM_001142491.1 115
NM_001142613.1 826
NM_001142751.1 139
NM_001142756.1 101
NM_001142970.1 382
NM_001142971.1 1065
NM_001145321.1 533
NM_001145322.1 500
NM_001145325.1_2 167
NM_001145329.1 80
NM_001145330.1 345
NM_001145332.1 197
NM_001146251.1 315
NM_001146721.1 117
NM_001160187.1 448
NM_001160189.1 203
NM_001160199.1 96
NM_001160201.1 272
NM_001160205.1 51
NM_001161829.1 271
NM_001163899.1 43
NM_001163903.1 96
NM_001163907.1 112
NM_001163908.1 380
NM_001163909.1 253
NM_001163910.1 79
NM_001163911.1 210
NM_001164476.1 492
NM_001166142.1 334
NM_001166145.1 427
NM_001166147.1 325
NM_001166148.1 358
NM_001168580.1 287
NM_001168581.1 298
NM_001168582.2 438
NM_001170997.1 142
NM_001170998.1 57
NM_001171914.1 376
NM_001171915.1 279
NM_001171917.1 372
NM_001171921.1 564
NM_001171923.1 1051
NM_001172457.1 130
NM_001172723.1 170
NM_001172724.1 231
NM_001172726.1 137
NM_001172812.1 332
NM_001172820.1 196
NM_001173138.1 333
NM_001173145.1 241
NM_001173152.2 157
NM_001173156.1 159
NM_001173172.1 88
NM_001173211.1 58
NM_001173230.1 60
NM_001173231.1 132
NM_001173232.1 87
NM_001173244.1 89
NM_001173246.1 163
NM_001173278.1 402
NM_001173319.1 295
NM_001173364.1 143
NM_001173375.1 147
NM_001173379.1 341
NM_001173395.1 729
NM_001177861.1 191
NM_001177862.1 191
NM_001184738.1 305
NM_001190211.1 595
NM_001190841.1 315
NM_001190842.1 17
NM_001195077.1 736
NM_001195080.1 881
NM_001195206.1 223
NM_001195453.1 150
NM_001195457.1 238
NM_001195462.1 523
NM_001195464.1 136
NM_001195465.1_3 198
NM_001195700.1 281
NM_001195704.1 96
NM_001198723.1 150
NM_001199937.1 262
NM_001200007.1 433
NM_001201432.1 366
NM_001201436.1 558
NM_001201437.1 407
NM_001201579.1 158
NM_001204479.1 690
NM_001204481.1 38
NM_001252420.1 116
NM_001252673.1 298
NM_001256987.1 76
NM_001256989.1 52
NM_001256990.1 44
NM_001257002.1 213
NM_001257004.1 377
NM_001257007.1 197
NM_001257008.1 185
NM_001257012.1 209
NM_001257025.1 236
NM_001257044.1 484
NM_001257046.1 370
NM_001257055.1 249
NM_001257337.1 328
NM_001279388.1 456
NM_001279397.1 6
NM_001279400.1 373
NM_001279414.1 107
NM_001279424.1 226
NM_001279429.1 296
NM_001279454.1 447
NM_001279459.1 95
NM_001279462.1 269
NM_001279484.1 695
NM_001279507.1 299
NM_001281894.1 544
NM_001281896.1 315
NM_001281897.1 565
NM_001282221.1 244
NM_001282222.1 293
NM_001282223.1 286
NM_001287400.1 231
NM_001287830.1 69
NM_001287837.1 334
NM_001287844.1 183
NM_001294284.1 82
NM_001294286.1 161
XM_004921496.1 277
XM_004921499.2 384
XM_004921505.2 391
XM_004921507.2 324
XM_004921508.2 21
XM_004921514.2 99
XM_004921517.2 164
XM_004921520.1 596
XM_004921526.2 216
XM_004921528.2 445
XM_004921529.2 86
XM_004921534.2 1212
XM_004921535.2 237
XM_004921538.2 267
XM_004921539.2 143
XM_004921540.2 165
XM_004921541.1 382
XM_004921545.2 66
XM_004921546.2 479
XM_004921547.2 311
XM_004921550.2 158
XM_004921554.2 162
XM_004921557.2 0
XM_004921559.2 248
XM_004921567.2 287
XM_004921573.2 232
XM_004921583.2 176
XM_004921585.2 1167
XM_004921589.2 233
XM_004921595.2 200
XM_004921606.2 93
XM_004921613.2 902
XM_004921620.2 186
XM_004921647.2 219
XM_004921650.2 380
XM_004921654.1 529
XM_004921655.2 544
XM_004921667.2 750
XM_004921668.2 350
XM_004921670.2 172
XM_004921675.1 251
XM_004921676.2 795
XM_004921680.2 503
XM_004921681.2 1153
XM_004921682.2 601
XM_004921685.2 1006
XM_004921687.2 401
XM_004921688.2 349
XM_004921690.2 304
XM_004921693.2 321
XM_004921703.2 11
XM_004921715.2 454
XM_004921727.2 1038
XM_004921742.2 65
XM_004921744.2 152
XM_004921745.2 259
XM_004921747.2 334
XM_004921749.2 482
XM_004921751.2 26
XM_004921755.2 296
XM_004921761.1 262
XM_004921762.2 143
XM_004921765.2 180
XM_004921778.2 70
XM_004921780.2 394
XM_004921784.2 558
XM_004921789.1 543
XM_004921790.1 36
XM_004921793.1 248
XM_004921795.2 320
XM_004921799.1 500
XM_004921800.2 279
XM_004921804.2 505
XM_004921805.2 196
XM_004921810.2 106
XM_004921832.2 181
XM_004921840.2 189
XM_004921845.2 858
XM_004921853.2 85
XM_004921863.2 328
XM_004921866.2 1074
XM_004921874.2 119
XM_004921875.2 606
XM_004921883.2 61
XM_004921893.2 365
XM_004921907.2 108
XM_004921912.2 439
XM_004921913.1 75
XM_004921914.2 502
XM_004921916.2 290
XM_004921918.2 606
XM_004921920.2 333
XM_004921921.2 40
XM_004921923.2 76
XM_004921924.2 74
XM_004921925.2 88
XM_004921933.2 433
XM_004921936.2 2
XM_004921938.2 117
XM_004921939.1 239
XM_004921942.2 448
XM_004921949.2 255
XM_004921952.1 329
XM_004921955.2 201
XM_004921957.2 212
XM_004921959.2 830
XM_004921961.2 163
XM_004921975.2 262
XM_004921982.2 95
XM_004921993.2 158
XM_004921995.1 251
XM_004922013.2 649
XM_004922014.2 372
XM_004922020.2 387
XM_004922024.2 56
XM_004922031.2 142
XM_004922032.2 247
XM_004922038.1 111
XM_004922040.2 182
XM_004922045.2 311
XM_004922049.2 654
XM_004922052.2 70
XM_004922060.2 444
XM_004922076.2 176
XM_004922084.1 209
XM_004922090.2 82
XM_004922098.2 21
XM_004922102.1 76
XM_004922105.2 242
XM_004922114.2 139
XM_004922115.2 125
XM_004922123.1 169
XM_004922131.2 302
XM_004922151.2 458
XM_004922158.2 73
XM_004922168.2 127
XM_004922187.2 195
XM_004922188.2 60
XM_004922191.2 187
XM_004922193.2 319
XM_004922201.2 331
XM_004922220.2 132
XM_004922311.2 160
XM_004922314.2 273
XM_004922315.2 199
XM_004922326.2 76
XM_004922329.2 337
XM_004922334.2 238
XM_004922335.1 227
XM_004922336.1 320
XM_004922344.2 223
XM_004922345.2 221
XM_004922349.2 165
XM_004922350.2 175
XM_004922353.2 1
XM_004922359.2 140
XM_004922369.2 171
XM_004922372.2 49
XM_004922391.2 364
XM_004922393.2 109
XM_004922394.2 246
XM_004922402.2 199
XM_004922403.1 488
XM_004922407.2 100
XM_004922408.1 41
XM_004922417.2 213
XM_004922419.1 162
XM_004922420.2 267
XM_004922424.2 31
XM_004922448.2 432
XM_004922463.2 353
XM_004922466.2 236
XM_004922468.2 103
XM_004922469.2 158
XM_004922474.2 30
XM_004922475.2 228
XM_004922498.2 307
XM_004922499.2 440
XM_004922512.2 452
XM_004922514.2 144
XM_004922515.2 208
XM_004922517.2 254
XM_004922518.2 340
XM_004922522.2 597
XM_004922523.2 69
XM_004922528.2 154
XM_004922529.2 191
XM_004922534.2 127
XM_004922535.2 120
XM_004922545.2 151
XM_004922559.1 181
XM_004922561.1 317
XM_004922568.2 102
XM_004922572.2 0
XM_004922574.1 311
XM_004922575.2 331
XM_004922587.2 134
XM_004922591.1 143
XM_004922592.2 50
XM_004922600.2 150
XM_004922602.1 278
XM_004922605.1 296
XM_004922606.2 178
XM_004922612.2 263
XM_004922617.2 220
XM_004922618.2 74
XM_004922628.2 351
XM_004922629.2 157
XM_004922631.1 220
XM_004922632.2 384
XM_004922654.2 280
XM_004922666.2 272
XM_004922671.2 210
XM_004922673.2 161
XM_004922675.2 163
XM_004922679.2 126
XM_004922687.2 314
XM_004922688.1 125
XM_004922690.2 479
XM_004922693.2 287
XM_004922694.2 99
XM_004922696.2 148
XM_004922697.2 66
XM_004922711.2 564
XM_004922724.2 465
XM_004922752.2 118
XM_004922757.2 392
XM_004922762.2 216
XM_004922764.2 192
XM_004922767.2 117
XM_004922769.2 726
XM_004922774.2 60
XM_004922779.2 218
XM_004922787.2 761
XM_004922794.2 411
XM_004922822.1 163
XM_004922829.2 427
XM_004922833.2 60
XM_004922837.2 328
XM_004922838.2 112
XM_004922840.2 269
XM_004922853.2 2
XM_004922855.2 80
XM_004922856.1 300
XM_004922859.1 270
XM_004922861.2 68
XM_004922868.1 361
XM_004922875.2 284
XM_004922877.2 405
XM_004922879.2 208
XM_004922880.2 251
XM_004922882.2 183
XM_004922883.2 208
XM_004922884.2 582
XM_004922888.1 100
XM_004922889.1 332
XM_004922896.2 324
XM_004922911.2 157
XM_004922920.2 339
XM_004922921.2 167
XM_004922923.2 225
XM_004922925.2 263
XM_004922942.2 240
XM_004922943.2 549
XM_004922945.2 101
XM_004922950.2 152
XM_004922954.2 143
XM_004922966.2 208
XM_004922967.1 552
XM_004922969.1 191
XM_004922979.1 142
XM_004922981.2 30
XM_004922982.2 92
XM_004922986.2 312
XM_004922988.2 263
XM_004922990.2 165
XM_004922994.2 135
XM_004923000.2 122
XM_004923002.2 189
XM_004923003.2 214
XM_004923006.2 161
XM_004923013.2 436
XM_004923035.1 22
XM_004923058.2 78
XM_004923075.2 116
XM_004923082.2 917
XM_004923087.2 305
XM_004923088.2 506
XM_004923093.2 595
XM_004923101.2 69
XM_004923103.2 87
XM_004923106.2 232
XM_004923107.2 86
XM_004923110.1 133
XM_004923124.2 58
XM_004923139.2 79
XM_004923156.2 59
XM_004923160.2 523
XM_004923161.2 176
XM_004923171.2 447
XM_004923173.2 507
XM_004923180.2 128
XM_004923181.1 132
XM_004923183.2 493
XM_004923188.2 349
XM_004923202.2 225
XM_004923207.1 469
XM_004923209.2 536
XM_004923221.1 187
XM_004923230.2 863
XM_004923231.2 222
XM_004923238.2 516
XM_004923241.2 58
XM_004923251.2 171
XM_004923253.2 882
XM_004923254.2 451
XM_004923255.2 237
XM_004923256.2 47
XM_004923262.2 969
XM_004923271.2 434
XM_004923272.2 234
XM_004923275.2 383
XM_004923278.2 322
XM_004923283.2 300
XM_004923292.2 313
XM_004923293.2 184
XM_004923301.2 71
XM_004923302.1 152
XM_004923307.2 262
XM_004923309.2 239
XM_004923317.2 546
XM_004923322.2 96
XM_004923332.2 210
XM_004923340.2 420
XM_004923341.2 125
XM_004923344.2 367
XM_004923366.2 164
XM_004923373.2 322
XM_004923381.2 112
XM_004923384.1 67
XM_004923393.2 332
XM_004923395.2 155
XM_004923396.2 120
XM_004923398.2 271
XM_004923411.2 163
XM_004923412.2 218
XM_004923415.2 35
XM_004923434.2 521
XM_004923438.2 352
XM_004923454.2 490
XM_004923456.2 919
XM_004923465.2 196
XM_004923478.2 279
XM_004923480.2 214
XM_004923483.2 333
XM_004923485.2 334
XM_004923487.2 618
XM_004923490.2 395
XM_004923491.2 121
XM_004923493.2 63
XM_004923494.2 140
XM_004923495.2 395
XM_004923496.2 47
XM_004923502.2 405
XM_004923503.2 303
XM_004923506.2 320
XM_004923508.2 421
XM_004923527.2 428
XM_004923533.2 434
XM_004923551.2 260
XM_004923552.2 173
XM_004923553.1 143
XM_004923585.2 118
XM_004923587.1 161
XM_004923593.2 169
XM_004923594.2 183
XM_004923599.2 346
XM_004923600.2 253
XM_004923602.2 779
XM_004923603.2 361
XM_004923607.2 69
XM_004923608.1 186
XM_004923612.1 374
XM_004923615.2 568
XM_004923617.1 118
XM_004923622.1 630
XM_004923626.2 90
XM_004923632.2 87
XM_004923640.2 318
XM_004923645.2 576
XM_004923647.2 332
XM_004923650.2 451
XM_004923654.2 106
XM_004923680.2 199
XM_004923685.2 23
XM_004923686.2 49
XM_004923709.2 366
XM_004923734.2 335
XM_004923735.2 690
XM_004923736.2 104
XM_004923745.2 97
XM_004923753.2 35
XM_004923755.2 206
XM_004923760.2 101
XM_004923766.2 344
XM_004923771.1 142
XM_004923778.2 21
XM_004923782.2 326
XM_004923809.2 232
XM_004923811.2 157
XM_004923812.2 384
XM_004923815.2 519
XM_004923819.1 338
XM_004923820.2 159
XM_004923822.2 492
XM_004923824.2 248
XM_004923828.2 184
XM_004923833.2 119
XM_004923836.2 359
XM_004923840.1 169
XM_004923847.2 317
XM_004923883.2 44
XM_004923885.1 269
XM_004923886.2 104
XM_004923888.2 279
XM_004923891.2 421
XM_004923895.2 224
XM_004923898.2 552
XM_004923899.2 272
XM_004923900.2 525
XM_004923903.2 473
XM_004923910.2 354
XM_004923913.2 47
XM_004923915.2 450
XM_004923917.2 312
XM_004923922.2 74
XM_004923924.1 211
XM_004923940.2 335
XM_004923951.1 414
XM_004923963.2 118
XM_004923968.2 364
XM_004923972.2 342
XM_004923980.1 261
XM_004923982.2 308
XM_004923987.2 285
XM_004923991.2 161
XM_004924027.2 319
XM_004924028.2 7
XM_004924029.1 68
XM_004924031.2 267
XM_004924032.2 154
XM_004924036.2 807
XM_004924037.2 209
XM_004924052.2 67
XM_004924061.2 225
XM_004924070.2 311
XM_004924074.2 110
XM_004924082.2 306
XM_004924100.2 53
XM_004924102.1 284
XM_004924103.2 130
XM_004924106.2 145
XM_004924114.2 86
XM_004924115.2 87
XM_004924117.2 559
XM_004924118.2 223
XM_004924120.2 343
XM_004924121.2 250
XM_004924122.1 268
XM_004924133.2 133
XM_004924137.2 212
XM_004924143.2 417
XM_004924145.2 163
XM_004924146.2 320
XM_004924148.2 409
XM_004924174.2 34
XM_004924184.1 0
XM_004924190.2 457
XM_004924193.2 217
XM_004924194.2 354
XM_004924212.2 3
XM_004924220.1 274
XM_004924236.2 407
XM_004924237.2 161
XM_004924244.2 199
XM_004924248.2 358
XM_004924261.2 15
XM_004924282.2 300
XM_004924283.2 79
XM_004924288.2 121
XM_004924292.2 387
XM_004924296.2 398
XM_004924299.2 113
XM_004924320.2 318
XM_004924348.2 151
XM_004924357.2 234
XM_004924364.2 90
XM_004924379.2 125
XM_004924427.2 250
XM_004924429.1 131
XM_004924433.1 199
XM_004924434.1 73
XM_004924435.2 309
XM_004924451.2 571
XM_004924457.2 116
XM_004924458.1 44
XM_004924459.2 365
XM_004924466.2 306
XM_004924468.2 359
XM_004924469.2 134
XM_004924478.2 237
XM_004924479.2 267
XM_004924484.1 595
XM_004924496.2 87
XM_004924497.2 316
XM_004924503.2 43
XM_004924504.2 164
XM_004924510.2 98
XM_004924512.2 376
XM_004924516.2 321
XM_004924519.2 706
XM_004924522.2 51
XM_004924523.2 288
XM_004924525.1 220
XM_004924546.2 212
XM_004924554.2 67
XM_004924557.2 221
XM_004924559.2 317
XM_004924564.2 294
XM_004924567.2 81
XM_004924569.2 119
XM_004924590.2 191
XM_004924597.2 238
XM_004924599.2 674
XM_004924604.2 142
XM_004924606.2 1836
XM_004924611.2 547
XM_004924612.2 448
XM_004924614.2 365
XM_004924615.1 249
XM_004924620.2 168
XM_004924621.2 556
XM_004924624.1 437
XM_004924627.2 376
XM_004924629.2 1097
XM_004924636.2 269
XM_004924643.2 500
XM_004924645.2 970
XM_004924648.1 176
XM_004924650.2 100
XM_004924651.2 476
XM_004924658.2 338
XM_004924659.2 244
XM_004924661.1 221
XM_004924663.2 211
XM_004924670.2 287
XM_004924675.2 160
XM_004924676.2 149
XM_004924687.2 229
XM_004924689.2 391
XM_004924701.1 222
XM_004924705.1 296
XM_004924712.2 181
XM_004924719.2 256
XM_004924728.2 624
XM_004924729.2 168
XM_004924732.2 444
XM_004924733.2 125
XM_004924734.1 241
XM_004924735.2 233
XM_004924741.2 109
XM_004924742.1 245
XM_004924744.2 322
XM_004924745.2 275
XM_004924752.2 239
XM_004924764.2 85
XM_004924767.2 430
XM_004924769.2 104
XM_004924777.2 149
XM_004924779.2 142
XM_004924780.2 272
XM_004924781.2 692
XM_004924783.2 489
XM_004924785.2 165
XM_004924787.2 289
XM_004924789.1 215
XM_004924790.2 126
XM_004924794.2 299
XM_004924801.2 1295
XM_004924803.2 108
XM_004924810.2 295
XM_004924811.2 244
XM_004924812.2 503
XM_004924820.2 334
XM_004924822.1 81
XM_004924823.2 45
XM_004924824.2 128
XM_004924828.1 164
XM_004924829.2 504
XM_004924833.1 758
XM_004924837.2 948
XM_004924851.2 519
XM_004924852.2 404
XM_004924869.2 264
XM_004924877.2 172
XM_004924886.2 440
XM_004924895.2 232
XM_004924899.2 237
XM_004924930.2 127
XM_004924937.2 68
XM_004924938.2 161
XM_004924940.2 106
XM_004924942.2 119
XM_004924947.2 349
XM_004924951.2 382
XM_004924970.2 10
XM_004924977.2 147
XM_004924991.1 300
XM_004924994.2 285
XM_004924995.2 176
XM_004925000.2 362
XM_004925003.2 637
XM_004925006.2 83
XM_004925007.2 298
XM_004925010.2 272
XM_004925011.2 327
XM_004925013.2 262
XM_004925016.2 581
XM_004925031.2 429
XM_004925044.2 109
XM_004925050.2 182
XM_004925051.2 251
XM_004925052.2 354
XM_004925058.1 81
XM_004925071.2 178
XM_004925076.2 740
XM_004925077.2 134
XM_004925088.2 88
XM_004925109.2 238
XM_004925110.2 409
XM_004925119.2 203
XM_004925120.2 158
XM_004925126.2 268
XM_004925133.2 295
XM_004925137.2 331
XM_004925141.2 385
XM_004925143.2 136
XM_004925145.2 114
XM_004925147.2 417
XM_004925153.2 184
