GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043507.1 0.342363 0.006583 0.742952 0.558780 0.356292 0.153393 0.590309 0.853313
NM_001043508.1 2.164837 1.332183 1.098968 1.089553 0.850164 0.373792 1.142176 1.651979
NM_001043516.1 1.527714 0.564173 1.515265 0.805369 1.844273 1.204634 1.310055 1.712500
NM_001043520.1 1.088382 0.978300 0.835755 0.942889 0.860010 0.585727 0.543891 1.482980
NM_001043522.1 0.000136 1.598906 0.803310 67.883031 68.281922 1.996810 1.226476 1.165884
NM_001043526.1 1.659226 1.108485 1.843998 2.601957 2.658833 1.111974 3.967183 1.494281
NM_001043530.2 21.127002 2.288195 2.250225 2.888854 1.667533 3.387931 1.631075 21.872067
NM_001043531.1 0.708764 0.461107 0.873391 0.772696 0.745260 0.536674 0.633101 1.061959
NM_001043532.1 1.117045 0.658444 1.259538 0.486096 0.657453 1.000158 0.493350 1.209193
NM_001043534.1 0.531197 0.150783 0.931075 1.651697 1.687499 0.900337 0.242020 1.458168
NM_001043535.2 2.043939 0.524961 1.962836 2.528031 0.987284 1.151278 1.273925 5.681710
NM_001043542.1 0.825179 4.610179 0.000043 0.555307 0.000030 3.288678 1.504106 1.203818
NM_001043543.1 0.688887 0.475946 0.620231 0.861805 0.625333 0.808840 0.804633 0.712787
NM_001043549.1 0.924643 0.593831 1.019261 1.872378 1.124542 1.277936 1.276803 1.521158
NM_001043553.1 0.737214 1.849908 0.727671 2.096875 1.379978 8.146928 1.476126 1.175728
NM_001043568.1 1.056703 2.200555 65.280331 1.733400 1.632216 0.310625 3.065774 4.433591
NM_001043583.1 0.597820 0.424296 0.790569 0.244937 0.614735 0.439676 0.279929 0.612610
NM_001043585.1 3.760074 0.412317 1.775017 2.213752 2.558607 0.725378 4.642830 1.651923
NM_001043587.1 6.722500 4.796428 2.577951 3.266759 2.855349 9.642914 3.134225 2.019435
NM_001043589.1 0.780183 1.125516 0.777676 1.153804 2.875880 1.203213 0.637030 1.428487
NM_001043594.1 1.126087 0.891444 1.392764 1.015131 0.881547 2.153313 0.925249 1.482655
NM_001043595.1 1.339518 0.322226 2.139833 0.924395 0.456001 1.690820 1.067493 1.039073
NM_001043609.2 3.692022 1.602438 2.907229 2.655471 6.192532 0.666802 3.849575 1.020167
NM_001043610.1 0.925299 0.743623 0.792144 0.612329 1.051523 0.848129 1.025383 1.310988
NM_001043619.1 0.969907 66.616890 0.781878 1.009840 1.279840 66.533130 0.551494 0.933323
NM_001043622.1 0.557210 0.440755 0.773768 0.523008 0.417862 0.370093 0.655048 0.667330
NM_001043625.1 7.887754 4.051075 69.870179 68.638347 70.025298 3.454143 0.821056 2.752730
NM_001043629.1 1.486685 0.552042 1.357839 2.549535 4.605763 0.460161 1.171798 17.447880
NM_001043634.1 1.102390 0.453880 0.536841 1.397158 0.865306 0.775328 0.673043 1.400804
NM_001043637.1 0.614578 2.583154 0.000059 3.506681 0.646966 2.246357 0.000289 5.060323
NM_001043643.1 0.165775 0.346913 0.428724 0.548914 0.397289 0.098315 0.103288 0.346611
NM_001043646.1 1.581897 0.626411 0.761408 0.559755 1.159471 1.015945 0.745130 1.821185
NM_001043649.1 0.434815 0.413998 0.798398 0.746968 0.450311 0.184533 0.455582 0.919628
NM_001043655.1 1.720854 2.112800 0.000051 1.727423 7.510924 0.000104 2.079303 65.695810
NM_001043658.1 0.549038 0.416931 0.785509 0.544122 0.543924 0.582919 0.803578 0.641050
NM_001043661.1 0.555747 0.488301 0.650270 0.753317 0.543245 0.586005 0.776143 0.858329
NM_001043670.1 0.931002 0.649952 1.109292 0.745913 0.795234 0.404429 0.619677 0.978208
NM_001043673.1 0.653188 0.409367 1.575787 0.358405 0.790266 1.281648 0.851394 0.406067
NM_001043676.1 0.510127 0.384896 0.961697 0.551577 0.410960 0.389634 0.706501 0.731884
NM_001043685.1 0.426411 0.455607 0.587863 0.983563 0.431095 0.650371 0.617553 0.831178
NM_001043688.1 0.938670 0.218122 1.166782 0.426727 0.565237 0.598575 0.484353 1.053524
NM_001043691.1 0.313599 0.511530 0.652923 0.544403 0.586490 0.404291 0.666891 0.582164
NM_001043694.1 0.790058 0.995445 1.740295 0.971263 0.625068 0.355521 1.563833 0.497785
NM_001043706.1 0.793481 0.419139 0.927562 0.631495 0.924191 0.569852 0.722210 0.700421
NM_001043712.1 22.736581 1.376124 1.156995 25.838849 56.620778 0.000881 56.385951 56.566927
NM_001043721.1 2.645313 1.754195 5.145003 64.760666 7.578022 0.523605 1.932739 0.817101
NM_001043724.1 0.748535 0.702397 0.681428 0.670463 1.420914 0.587620 0.716770 2.231898
NM_001043730.1 1.156195 2.849557 4.133246 1.023300 2.019001 3.966861 2.105519 3.463137
NM_001043746.1 0.854136 1.070819 0.741206 1.273895 1.074966 1.308989 0.959519 0.793786
NM_001043750.2 0.509718 0.099282 0.554947 0.466874 0.400630 0.366908 0.663237 0.999872
NM_001043752.1 0.583295 0.438691 0.696204 0.536187 0.471192 0.373777 0.632029 0.938618
NM_001043754.1 0.682815 0.762387 1.090283 0.919524 0.851174 0.393392 0.493067 1.024588
NM_001043756.4 0.605841 0.276701 1.085442 0.406972 0.376901 0.363227 0.377784 0.448481
NM_001043758.1 0.543917 0.469319 0.700863 0.618029 0.769811 0.601230 0.609800 0.898337
NM_001043760.1 1.464704 0.388518 1.428110 0.782275 0.571710 0.605306 0.747705 0.799800
NM_001043762.1 0.394120 0.261178 0.612327 0.344537 0.432859 0.252060 0.409277 0.292705
NM_001043766.1 0.886953 0.729581 0.955578 0.478533 0.678523 0.454275 0.772321 0.821987
NM_001043776.1 1.107195 0.741555 1.816272 1.058485 0.865642 1.082978 2.325675 1.199650
NM_001043780.1 0.650106 0.636300 0.515920 0.504963 0.632527 0.169317 0.710283 0.538944
NM_001043788.1 0.548091 0.725188 1.484058 0.746753 0.493174 0.579310 0.541788 1.070755
NM_001043790.1 0.772754 0.338850 0.646471 0.670339 0.739170 0.455537 0.437554 1.175939
NM_001043792.1 2.070273 0.858176 2.895472 0.774709 1.849215 1.278136 0.603526 76.653955
NM_001043798.1 0.671110 0.597645 0.672571 0.621491 0.525721 0.615361 0.661730 0.989935
NM_001043800.1 0.537891 0.254034 0.544995 0.753018 0.572458 0.599918 0.850665 0.771896
NM_001043802.1 0.497849 0.649868 0.905856 0.958968 0.341126 0.330163 0.711887 0.461575
NM_001043804.2 0.639922 0.332961 1.535448 0.465411 0.898886 0.468224 0.561351 0.918326
NM_001043808.1 0.102230 0.301368 0.764033 0.657960 0.397659 0.297882 0.383808 0.611990
NM_001043824.1 1.387663 2.194354 2.557458 3.054700 2.633643 0.305286 1.195806 70.551966
NM_001043832.1 6.038400 69.634729 0.435680 1.573772 69.649205 0.652908 4.260874 2.775312
NM_001043834.1 0.697615 0.485399 70.618938 2.176059 0.936640 1.130291 0.866459 1.447610
NM_001043836.1 0.582579 0.467958 0.801695 0.697232 0.840899 0.875976 0.653788 0.856702
NM_001043844.1 2.453239 1.285323 1.733404 2.995638 1.776452 1.852010 2.415395 2.000285
NM_001043850.1 0.949646 0.633716 1.154432 1.730251 1.224968 0.628743 0.910723 1.545213
NM_001043858.1 0.977473 0.526999 1.660240 3.933285 0.642208 0.491106 1.400421 0.690659
NM_001043860.1 3.194098 2.901061 3.793121 2.946130 2.246721 2.371325 2.029021 2.297294
NM_001043864.1 0.792154 0.055716 1.138972 0.806174 1.583747 0.328391 0.851357 1.256482
NM_001043870.1 2.268416 3.501291 2.167505 4.583786 4.538639 3.721148 5.558637 7.312784
NM_001043872.1 2.386057 1.255156 2.501872 1.132765 1.351746 2.558157 5.682140 1.598191
NM_001043874.1 1.091388 1.475108 1.989216 1.141359 1.766792 1.872050 3.002581 1.781299
NM_001043876.1 0.465337 0.420042 0.554283 0.542833 0.723008 0.629441 1.251949 0.909508
NM_001043878.2 2.167562 2.294320 3.659805 2.937103 2.552875 2.510431 0.964808 3.541770
NM_001043880.1 1.594846 0.888594 0.977603 0.958102 0.955403 0.938222 1.058696 1.450497
NM_001043882.1 1.283738 1.151354 2.014798 2.156625 2.553388 1.013904 1.928161 3.778214
NM_001043899.2 1.584151 0.214535 1.164159 1.554208 0.785775 0.467306 0.674742 1.103233
NM_001043913.1 64.144126 0.851263 1.542433 1.189606 2.357321 1.246410 1.892362 1.222893
NM_001043917.1 0.924693 0.817519 0.748554 1.033605 0.564512 0.619027 1.101011 9.891190
NM_001043925.2 1.499150 1.310299 0.802537 0.958380 0.479650 1.021511 0.988636 0.707564
NM_001043939.1 0.877759 1.024472 1.195178 0.872632 0.553951 1.317390 1.269095 1.415535
NM_001043941.1 1.308320 2.443795 69.779813 1.854754 2.386516 0.849150 2.336080 2.204820
NM_001043943.2 1.672130 0.767916 1.436239 2.353927 1.309040 1.583154 1.713336 1.937101
NM_001043949.1 1.524874 1.272100 2.019044 1.412824 2.355856 1.864093 2.100657 2.059537
NM_001043953.2 0.936798 0.699571 2.379975 11.175402 1.269847 0.941888 2.416200 0.835489
NM_001043965.1 0.901779 1.053486 0.996013 1.560058 1.571342 0.935283 7.014103 3.302831
NM_001043969.1 2.252861 1.913899 0.841939 1.823133 1.166972 1.597280 1.936586 1.777485
NM_001043971.1 0.387149 0.586599 0.899739 0.752085 0.762864 1.603668 0.892627 0.985085
NM_001043975.1 1.968667 2.892958 1.787837 1.025381 1.821845 2.693112 2.293439 0.677126
NM_001043977.1 1.635223 2.618723 2.682715 1.625017 0.703329 2.970777 1.832894 2.083089
NM_001043983.1 84.149650 85.058447 0.000386 84.301122 3.168916 5.849327 1.464734 1.415712
NM_001043985.1 3.366986 64.478988 64.552515 10.929881 5.244286 3.390078 2.180052 1.182018
NM_001043989.1 0.828649 6.377905 2.011850 0.610015 6.744207 0.000005 1.089140 0.828925
NM_001044011.1 2.189384 1.656078 62.158847 62.184682 62.233438 1.006613 2.917012 61.630547
NM_001044019.1 1.507577 1.073018 1.028407 2.337642 2.265969 6.022739 1.683254 1.645300
NM_001044029.1 1.546273 76.355612 0.744210 29.878384 1.286527 76.270602 3.568717 76.214676
NM_001044037.1 0.725241 1.177253 1.072060 0.985503 1.415305 1.079855 0.796398 1.689588
NM_001044043.1 0.377481 0.260499 0.715687 0.575439 0.869054 0.561454 0.519646 0.360678
NM_001044055.1 0.288051 0.000005 1.390355 0.361714 0.267789 0.416645 0.534733 0.542034
NM_001044057.1 0.697107 0.438169 0.989148 1.309751 0.432786 1.299023 0.744312 0.853704
NM_001044059.1 0.804110 0.428854 0.995245 0.461895 0.722716 0.890680 0.552999 0.561651
NM_001044063.2 0.322127 0.857810 0.669327 1.017007 0.459193 0.413641 0.980845 0.596514
NM_001044069.1_2 0.800809 1.263490 1.457525 1.168164 2.292803 1.812764 1.302470 1.424502
NM_001044073.1 0.936261 0.497736 0.967745 0.817393 0.830103 1.465819 0.746893 0.571783
NM_001044075.1 1.381640 1.220355 1.430857 1.224045 0.692521 1.049118 1.650336 1.458220
NM_001044077.1 1.754663 1.491068 2.465964 6.129821 1.320831 1.549837 1.827254 2.401002
NM_001044079.1 2.380821 0.630383 1.503546 0.937608 0.436917 2.791186 1.512884 2.002761
NM_001044087.1 1.908684 1.247872 1.777538 2.202084 0.953119 2.195781 1.106695 1.819964
NM_001044091.1 0.561488 0.182222 1.073333 1.690593 0.596362 2.323514 0.424425 1.594825
NM_001044099.1 0.644247 0.339197 0.912029 0.603041 0.539608 0.509639 0.508969 0.735435
NM_001044101.1 0.485223 0.584996 0.687704 0.522328 0.553515 0.254976 0.383234 0.781803
NM_001044105.1 0.514731 0.420730 0.773095 0.493133 0.443879 0.679147 0.595814 0.791032
NM_001044111.1 0.502311 1.113263 0.960461 0.757156 1.004091 0.397053 0.692445 0.712743
NM_001044121.1 1.531205 1.699523 0.828882 0.235641 2.240850 0.403988 1.564523 0.262944
NM_001044123.2 7.357619 9.626369 0.000005 1.602029 1.116275 2.137102 5.307435 0.978957
NM_001044131.1 1.431953 0.838742 1.368515 0.832676 1.717540 0.710942 0.843986 2.546118
NM_001044135.1 7.031268 6.010273 3.162152 2.701287 3.335085 3.481722 2.986894 2.795749
NM_001044137.1 1.304351 0.489113 0.313557 1.445336 1.190700 0.717327 0.649563 1.178023
NM_001044145.1 0.620731 0.892946 2.082934 7.841128 2.368076 0.339650 3.203648 3.752349
NM_001044147.1 0.588769 0.968853 1.428510 1.844054 1.110253 0.952062 0.652788 1.395154
NM_001044163.1 0.610776 0.581920 0.800250 0.652242 0.647052 0.618152 0.428024 0.574047
NM_001044165.1 3.712020 0.000005 1.690161 1.311195 4.284192 0.000035 0.746335 5.982190
NM_001044171.1 69.284170 2.684773 1.026749 69.192909 68.529270 69.137118 0.781047 11.211741
NM_001044177.1 1.782521 2.593078 1.679850 4.259615 2.816410 2.722601 3.450024 0.877569
NM_001044179.1 0.529116 0.482522 0.877276 3.089398 0.810612 0.218812 0.628415 1.103358
NM_001044183.1 0.838707 1.594798 1.081740 15.427270 1.084807 1.482994 1.931230 6.487152
NM_001044191.1 0.781573 0.465409 0.913281 0.749228 0.720590 1.007591 0.623835 0.792457
NM_001044195.1 1.535058 0.881369 1.249937 1.458132 0.482621 0.617884 0.724690 0.508162
NM_001044197.1 0.684693 0.321299 1.619634 0.452900 1.525042 2.036123 0.631924 1.486657
NM_001044199.1 1.184853 1.371051 1.165075 3.043955 1.914775 0.447900 1.005324 2.208721
NM_001044203.1 1.631512 0.063687 2.184859 0.000035 0.451841 3.932341 0.467819 1.175967
NM_001044213.1 0.752420 0.661530 1.042181 0.946738 0.657190 0.635324 0.861710 1.497303
NM_001045492.1 0.536335 69.648185 1.649937 1.307665 0.888610 2.019286 0.000049 16.206733
NM_001046638.1 0.000006 0.189491 0.886401 1.189828 0.000071 3.715996 8.438281 0.469097
NM_001046639.1 1.367683 0.768987 2.324056 15.452083 0.527892 1.984219 7.355291 1.396131
NM_001046642.1 1.492549 0.558806 1.362306 1.844727 1.440981 1.302887 2.242179 2.619934
NM_001046643.1_2 1.790830 1.348341 1.093530 1.764798 1.750510 1.356698 1.079344 1.631207
NM_001046644.1 1.343474 0.960440 1.039197 1.300271 2.340386 0.285933 1.613091 1.908167
NM_001046645.1 61.787775 1.427164 5.604762 8.040987 18.426004 59.946834 0.000606 61.622479
NM_001046647.1 1.142835 2.094091 1.126904 2.903450 1.636536 2.119170 1.639499 2.660470
NM_001046650.1 0.709294 7.422948 22.997987 0.983567 80.664610 80.706942 2.462817 3.997821
NM_001046651.1 3.289798 2.070435 3.964550 1.618683 1.162601 75.559785 75.583239 5.287375
NM_001046652.1 2.742106 1.012915 1.138542 11.540777 1.172894 1.472437 3.818816 0.156745
NM_001046654.1 1.895746 0.583940 1.797497 1.478771 1.565655 1.077327 0.468456 1.086781
NM_001046655.2 1.724219 1.400179 1.137415 2.284362 1.480304 1.775436 1.666456 1.396354
NM_001046656.1 9.885955 2.024298 13.609746 4.290970 9.190372 2.279403 0.626536 86.954530
NM_001046658.1 2.040640 1.620531 0.205454 0.782135 1.213053 0.738431 1.437675 1.043134
NM_001046659.1 1.656260 1.162876 0.882591 1.026714 3.649640 0.133432 0.553965 0.969563
NM_001046660.1 2.334237 0.000006 3.037802 1.122913 1.071492 1.496928 2.489877 1.876917
NM_001046661.1 1.108977 2.640027 3.481876 1.025831 1.459917 3.906874 4.043255 3.313314
NM_001046662.1 1.590050 0.000094 4.888933 2.562503 3.916236 0.431711 3.471320 1.496444
NM_001046663.1 2.672537 1.161396 2.151394 39.136328 1.628279 2.673064 1.671803 65.427623
NM_001046666.1 0.944527 0.757064 1.970814 1.585938 1.000310 0.871266 2.135594 2.259973
NM_001046667.1 0.559714 1.225332 2.674793 1.032769 2.922216 0.415212 1.142033 3.634655
NM_001046669.2 0.880469 0.832301 1.180820 3.089929 0.819389 1.401096 1.427799 1.351251
NM_001046673.1 0.869582 0.627943 0.602584 1.982859 1.094986 0.647770 1.277660 1.888277
NM_001046677.1 0.667307 8.291773 3.337406 3.175847 8.318909 2.431146 2.216315 15.412334
NM_001046678.1 0.246482 0.499941 2.064581 0.892447 1.273076 0.934320 0.799384 6.710492
NM_001046682.1 4.378650 0.792316 3.224684 8.034681 3.168855 0.096157 0.093396 72.854487
NM_001046688.1 0.963613 0.717779 1.568447 1.764230 0.824809 1.298936 0.729715 2.148550
NM_001046691.1 0.989980 0.579641 0.750942 0.512968 0.855665 0.518027 0.480099 0.996507
NM_001046692.1 0.864712 1.589981 3.322039 1.870471 1.404904 2.819700 0.555603 0.543462
NM_001046698.1 3.858469 86.102844 6.910401 0.912995 11.043247 79.933452 4.066755 4.070611
NM_001046699.1 0.051315 0.161411 0.367985 0.257944 0.309729 0.052438 0.159438 0.557743
NM_001046701.1 1.639663 1.479048 1.882654 2.570775 2.956168 1.156965 7.801373 2.815515
NM_001046702.1 1.039493 1.159107 1.715185 5.136292 5.144927 1.061758 1.278102 2.323787
NM_001046703.1 0.505199 0.679529 0.675430 0.359109 0.652715 0.489113 0.553365 0.955232
NM_001046705.1 1.131655 1.841801 1.121018 0.868961 1.427885 1.725966 1.898138 1.652649
NM_001046707.1 3.290977 0.202798 3.274089 2.003185 0.000047 74.589564 2.831440 3.179719
NM_001046708.1 0.002049 2.464803 18.541808 0.008164 33.803037 0.149070 6.794184 2.479209
NM_001046711.1 1.779507 0.657812 1.256028 1.284963 0.932757 0.263797 0.734406 2.192157
NM_001046714.1 15.446113 0.000263 3.690494 3.169416 0.439425 1.844256 3.307822 2.816508
NM_001046719.1 0.886555 3.495351 4.632018 46.091567 3.013038 2.819048 5.283974 20.197186
NM_001046720.1 2.749135 1.521439 1.129606 1.544477 0.001204 6.061383 1.395737 67.961988
NM_001046721.1 0.642663 67.548627 0.000043 0.647041 0.657941 1.487794 0.000031 67.368883
NM_001046726.1 1.888638 61.716589 0.032750 1.674986 75.956895 62.170380 1.123036 8.057091
NM_001046729.1 4.079934 2.424151 5.270756 5.666877 7.299043 4.784021 2.463991 4.341692
NM_001046731.1 0.809286 0.465899 5.559509 1.200486 1.473797 1.053062 14.632336 2.610177
NM_001046733.1 1.098075 1.405118 48.207927 4.472705 1.531697 17.212670 1.151360 2.459300
NM_001046735.1 0.517797 2.974578 0.406819 0.936563 0.924979 3.156928 1.769181 2.430066
NM_001046737.1 2.958294 1.504438 0.000005 1.536764 59.452417 0.842752 0.227784 59.474012
NM_001046739.1 1.633717 1.524577 1.577441 2.320168 1.025368 1.090730 2.722717 5.612793
NM_001046740.1 0.385489 0.729771 13.072060 59.276913 1.133831 0.918458 1.285008 1.458266
NM_001046741.1 3.335479 2.385454 0.000017 4.093239 6.392589 3.881573 2.430416 71.326299
NM_001046744.1 1.998432 0.000005 5.376468 2.206608 2.661831 1.010335 1.021137 1.130927
NM_001046745.1 0.339631 0.603058 4.374205 1.610640 2.506987 0.282448 2.300374 1.950589
NM_001046747.1 77.502046 0.808250 1.109154 1.162822 0.982734 1.575570 0.929390 2.367070
NM_001046748.1 1.281358 0.516507 1.340377 1.000468 1.722983 1.181865 1.923755 2.433857
NM_001046749.1 0.777808 0.511208 3.675607 8.980040 1.934189 1.648487 0.751305 0.715977
NM_001046752.1 72.347724 2.318355 2.412985 6.622588 2.293744 1.480570 0.325221 1.924166
NM_001046754.1 2.319846 0.107853 1.998859 2.203974 1.876992 2.809163 0.979858 3.084671
NM_001046755.1 60.388039 0.972615 58.816181 0.000033 1.433833 0.000071 2.023917 0.024956
NM_001046757.1 1.387618 1.326671 2.680175 4.198455 2.506187 2.519953 3.090633 2.994249
NM_001046758.1 0.801365 0.277192 1.267361 0.544291 1.007929 0.613701 0.630214 1.086597
NM_001046765.1 0.779728 0.751608 1.546767 3.600829 1.293898 0.756311 16.529568 2.438144
NM_001046767.1 1.060036 0.686071 1.170542 0.644032 0.820226 1.091808 1.118744 1.297003
NM_001046768.1 0.444737 0.273937 0.519806 0.565603 0.245742 0.234697 0.329030 1.119172
NM_001046770.1 2.031877 1.099571 64.925528 64.969276 1.444612 64.730484 64.996766 50.524778
NM_001046773.1 1.631705 1.793549 0.615210 7.028580 1.027730 0.851118 1.351847 2.161614
NM_001046776.1 1.236777 0.339998 0.613996 1.294848 0.739136 0.748814 1.073855 0.998434
NM_001046777.1 8.898077 1.571099 2.837482 5.691500 4.016733 3.075301 3.340296 3.908426
NM_001046780.1 0.545776 73.553984 0.000824 0.000346 0.325372 3.774068 0.677657 0.968443
NM_001046781.1 3.742671 9.918923 0.024959 7.010072 1.869742 11.076275 0.016942 5.953663
NM_001046786.1 1.075945 1.282159 1.005840 1.687481 0.525423 2.213432 0.458964 1.923699
NM_001046787.1 3.621476 1.173798 2.571465 1.651154 1.440312 0.803949 5.173468 1.722091
NM_001046789.1 1.506149 1.427858 1.055054 2.292524 0.000029 2.160594 1.078947 0.812594
NM_001046790.1 0.923858 0.832141 2.052605 1.207662 0.956598 1.181821 1.245626 1.364347
NM_001046791.1 5.389499 1.158288 1.698810 0.000126 5.817593 0.210596 2.111819 5.536119
NM_001046792.1 3.001178 0.720444 1.918650 1.764223 0.781695 1.830450 16.019826 0.342569
NM_001046796.1 0.876415 0.515962 0.656853 1.472561 0.956490 1.133573 1.530553 1.365469
NM_001046801.1 0.931392 0.460838 1.393343 47.318658 1.948603 0.723788 0.923289 0.864610
NM_001046804.1 0.888837 0.000009 4.956464 0.788274 1.722973 1.601203 0.809258 2.391588
NM_001046805.1 0.586187 0.575541 1.405753 2.566519 1.974858 0.698621 2.217090 0.868493
NM_001046808.1 0.701451 0.452058 1.022567 0.681117 1.769155 0.514590 0.597389 0.679743
NM_001046809.1 0.715891 0.488580 0.783004 0.856820 0.816946 0.476578 0.648194 1.123953
NM_001046810.1 10.494704 1.033976 1.153472 6.404704 0.367285 16.867018 0.899188 0.504382
NM_001046813.1 1.709943 1.788300 3.665594 1.112747 1.445416 0.882767 0.670061 2.506976
NM_001046815.1 0.956839 1.047550 0.840499 0.746381 0.855521 0.928752 1.136725 1.099220
NM_001046816.1 3.700686 1.397694 1.511156 3.010368 1.121522 2.865546 3.257087 11.536829
NM_001046818.1 0.354714 0.000288 73.203756 1.020901 3.334444 0.358783 4.223019 2.232903
NM_001046821.1 0.719552 0.603332 0.718641 0.594342 0.579656 0.633447 0.638037 0.679080
NM_001046822.1 0.764671 0.425923 0.721425 0.873607 0.930205 0.358944 0.444643 0.653722
NM_001046827.1 0.333852 0.655948 1.102658 0.349642 0.907403 0.602744 0.916484 1.018781
NM_001046828.1 3.552663 0.606662 3.308418 2.741008 1.658224 1.476422 1.168520 2.466724
NM_001046832.1 0.838845 0.828268 1.498699 1.207716 1.113405 1.592532 1.048149 1.282699
NM_001046833.1 4.549616 3.364693 4.369585 1.577027 3.476526 1.272829 1.906988 2.340044
NM_001046834.1 0.000030 0.983371 1.365668 1.779499 1.528413 0.144555 1.832464 2.907758
NM_001046835.1 1.196176 0.876840 1.554806 1.376311 0.806140 0.801608 0.980384 1.401344
NM_001046836.1 0.796075 0.451970 2.776883 1.655583 1.247627 0.909750 0.554669 2.785675
NM_001046837.1 2.591985 1.198514 1.535160 6.881339 2.076412 1.782631 2.334033 1.331589
NM_001046839.1 8.797653 1.912764 1.798732 2.012320 1.721752 1.329376 2.754120 0.415897
NM_001046841.1 0.489929 0.724129 1.468312 0.827273 1.037994 0.968135 1.356349 0.492100
NM_001046844.1 1.137500 3.658152 1.548504 2.833097 4.557534 2.387120 4.946277 3.238228
NM_001046845.1 0.397736 0.465792 1.030703 1.576738 0.939218 0.535183 0.733555 0.852680
NM_001046848.1 6.165787 0.765635 2.519183 3.156844 1.546286 4.930904 5.710702 0.007404
NM_001046850.1 1.475167 1.382896 1.458730 3.559760 1.772454 1.339833 1.235453 2.439040
NM_001046851.1 0.679274 0.793701 1.317957 1.202144 0.876505 0.818853 1.043282 1.842099
NM_001046852.1_2 19.566910 3.651586 1.279532 2.518986 28.310981 4.004368 1.812191 0.297309
NM_001046853.1 12.532097 0.914732 2.082764 2.229510 2.298281 3.066476 1.739920 1.838626
NM_001046854.1 63.691735 0.625485 0.955842 2.516772 1.128591 0.974295 0.385044 1.176872
NM_001046855.1 5.336197 0.482523 4.033794 3.652508 3.987950 4.827516 3.815054 4.886790
NM_001046857.1 1.287488 0.828102 0.697880 1.419781 0.917516 0.607505 1.256355 2.862910
NM_001046859.1 5.224911 0.667030 1.374882 2.691333 73.906600 0.000006 5.293502 1.727562
