GeneID  node1 L_accius node2 node3 P_sennae L_sinapis node4 C_cecrops node5 D_plexippus H_melpomene P_machaon B_mori
NM_001043925.2  0.00010 0.00566 0.00010 0.00010 0.00010 0.01400 0.00010 0.01143 0.00010 0.01140 0.00543 0.00010 0.00010
NM_001043939.1  0.00010 0.01556 999.00000 0.00308 0.00636 0.01878 0.05470 0.02669 0.00706 0.02703 0.00266 0.01422 0.01139
NM_001043941.1  999.00000 0.08475 999.00000 0.13036 0.05884 0.00230 93.26526 0.10021 0.01832 0.04862 0.13742 0.05598 0.05577
NM_001043943.2  999.00000 0.02126 999.00000 999.00000 0.04969 0.04141 0.00389 0.02356 288.98659 0.02051 0.01848 0.02183 0.02110
NM_001043949.1  0.00633 0.02703 0.01151 0.01741 0.02474 0.04133 558.63179 0.06433 0.04402 0.03524 0.03022 0.01849 0.03790
NM_001043953.2  517.22330 0.00989 24.37418 0.03263 0.00955 0.00984 0.00525 0.00225 20.22327 0.01219 0.00657 0.00489 0.02562
NM_001043965.1  0.01050 0.11954 0.01889 999.00000 0.04700 0.05715 0.01273 0.06135 0.06663 0.04412 0.08076 0.01036 0.02512
NM_001043969.1  749.54511 0.03124 999.00000 0.06974 0.03880 0.04386 0.05368 0.06941 0.13227 0.04382 0.02331 0.04054 0.02590
NM_001043971.1  0.00010 0.01671 0.01327 378.84723 0.01093 0.00367 0.05426 0.02138 0.00371 0.00780 0.00304 0.00955 0.00862
NM_001043975.1  999.00000 0.04281 0.00708 582.78326 0.01495 0.04877 999.00000 0.07997 0.01334 0.02522 0.02171 0.02049 0.11122
NM_001043977.1  0.00010 0.01897 452.29864 0.00137 0.01468 0.01235 424.96389 0.02298 0.00589 0.10643 0.00951 0.01475 0.03128
NM_001043983.1  55.72418 0.00286 0.00783 0.00010 0.00023 103.90534 129.78152 0.00241 999.00000 0.02105 0.00790 0.05837 0.12244
NM_001043985.1  999.00000 0.09436 999.00000 0.00245 0.00227 0.00187 194.45581 0.01606 999.00000 0.04666 0.04578 0.06128 0.15195
NM_001043989.1  0.00010 0.07496 6.59728 999.00000 0.00291 0.01655 0.00010 0.00010 0.00010 0.00175 0.00010 0.09687 0.07587
NM_001044011.1  358.02358 0.10144 999.00000 0.00010 0.36523 0.00154 999.00000 0.00139 0.00010 0.00110 0.67733 0.06197 0.00467
NM_001044019.1  999.00000 0.00010 999.00000 0.01950 0.00537 0.00709 59.55631 0.00500 558.46711 0.00252 0.00119 0.00430 0.00953
NM_001044029.1  0.00010 0.15999 999.00000 0.00010 0.00136 1.26330 0.00010 0.00503 0.00010 0.62706 0.00167 0.23643 0.00188
NM_001044037.1  0.04717 0.01104 0.18034 0.06155 0.01120 0.03049 0.01525 0.03952 0.09174 0.01573 0.00787 0.03488 0.01826
NM_001044043.1  0.05764 0.00010 0.11200 0.04814 0.01201 0.01803 0.00010 0.00555 0.00010 0.00367 0.02311 0.01865 0.04516
NM_001044055.1  0.00010 0.02714 0.00010 0.00010 0.00010 0.00010 0.03808 0.00010 0.00010 0.00010 0.00010 0.00010 0.02944
NM_001044057.1  999.00000 0.01893 0.00010 0.02774 0.02974 0.04008 0.00010 0.00639 0.00010 0.03009 0.02399 0.01725 0.04106
NM_001044059.1  0.02004 0.02025 0.00010 0.00010 0.00010 0.03833 0.00010 0.09458 0.06801 0.02273 0.03039 0.04209 0.04958
NM_001044063.2  0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00437 3.59188 0.05000 0.01995 0.00010 0.01566
NM_001044069.1_2  999.00000 0.08093 0.07129 0.26481 0.03175 0.03424 999.00000 0.06016 999.00000 0.04015 0.02889 0.04329 0.06949
NM_001044073.1  0.00010 0.00942 0.00010 0.00201 0.01089 0.01281 0.00010 0.00010 0.00010 0.00727 0.00010 0.00010 0.00547
NM_001044075.1  626.80689 0.01006 0.00010 148.03317 0.01669 0.02259 65.74494 0.05209 0.00276 0.02029 0.00809 0.01142 0.01288
NM_001044077.1  410.24497 0.01245 497.74539 164.33186 0.02911 0.01162 0.00010 0.00537 583.98481 0.02051 0.02166 0.00768 0.01763
NM_001044079.1  999.00000 0.01734 0.00010 0.00176 0.03520 0.02617 0.02343 0.06159 0.01214 0.04912 0.01496 0.03994 0.02046
NM_001044087.1  999.00000 0.00582 0.03142 0.00010 0.00342 0.02252 0.00544 0.00911 999.00000 0.02297 0.00739 0.02293 0.00708
NM_001044091.1  0.05077 0.07454 0.01104 0.06696 0.06521 0.02751 0.00010 0.03022 999.00000 0.04148 0.01827 0.11717 0.01830
NM_001044099.1  0.00010 0.00010 0.00010 0.03724 0.00010 0.00595 0.00010 0.00595 0.00010 0.00333 0.00010 0.00352 0.00243
NM_001044101.1  0.02569 0.01115 0.00010 0.00010 0.00934 0.03471 0.00010 0.03929 0.00010 0.01982 0.01414 0.02936 0.01636
NM_001044105.1  0.00010 0.00010 0.00010 0.00010 0.01657 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00581 0.00010
NM_001044111.1  0.02157 0.02982 0.02001 0.19543 0.00656 0.01306 0.00010 0.02113 0.00010 0.02639 0.03265 0.01362 0.05574
NM_001044121.1  0.00010 0.01554 0.00687 0.02231 0.00229 0.04365 0.03406 0.06712 0.02102 0.01689 0.03830 0.03933 0.21084
NM_001044123.2  0.00859 0.00010 0.00010 999.00000 0.00101 999.00000 0.00010 0.00560 0.00010 0.00431 0.00421 0.00092 0.00964
NM_001044131.1  999.00000 0.02039 999.00000 0.25363 0.03762 0.03630 0.00010 0.05626 0.55707 0.01495 0.01833 0.02953 0.02568
NM_001044135.1  27.57014 0.00894 34.37343 0.00010 0.00223 0.01992 0.00361 0.01704 109.42260 0.00987 0.00974 0.00991 0.01531
NM_001044137.1  999.00000 0.01126 732.75419 0.00310 0.03159 0.11068 0.02869 0.00739 0.00010 0.00904 0.02654 0.02275 0.01656
NM_001044145.1  999.00000 0.10192 999.00000 0.09436 0.13153 0.06117 435.63894 0.01669 0.01455 0.09662 0.40662 0.05756 0.03301
NM_001044147.1  0.00010 0.01276 0.00010 0.35770 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00261 0.00010 0.00178
NM_001044163.1  0.03308 0.00194 0.00010 0.04528 0.00010 0.01043 0.01752 0.00906 0.00010 0.01286 0.00010 0.00552 0.01463
NM_001044165.1  0.00010 0.00010 999.00000 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 172.44245 0.00010 0.00104
NM_001044171.1  0.00031 0.00164 999.00000 999.00000 0.07570 0.12826 999.00000 0.00205 0.00010 0.00512 0.00231 0.20546 0.01881
NM_001044177.1  0.01199 0.05565 999.00000 0.04177 0.04165 0.06655 999.00000 0.01920 0.02291 0.03630 0.02635 0.02406 0.16443
NM_001044179.1  0.01260 0.03806 0.00010 0.02114 0.01918 0.01965 999.00000 0.01384 0.00705 0.00812 0.06045 0.01222 0.02607
NM_001044183.1  0.04003 0.03530 0.00010 0.00771 0.01138 0.01371 999.00000 0.00366 0.00010 0.01669 0.02477 0.01561 0.00824
NM_001044191.1  0.01365 0.00142 999.00000 0.01265 0.01118 0.01214 999.00000 0.00640 0.02111 0.01382 0.00855 0.01089 0.01862
NM_001044195.1  0.02848 0.02119 78.51203 0.05521 0.02472 0.02873 0.00010 0.04229 46.64759 0.10410 0.09266 0.06550 0.11849
NM_001044197.1  0.06853 0.05714 1.94690 0.00010 0.30879 0.04144 0.00010 0.08663 0.00010 0.01253 0.05122 0.10865 0.04980
NM_001044199.1  999.00000 0.03785 0.02547 0.03105 0.01428 0.04095 0.00242 0.01616 147.37488 0.03783 0.09048 0.03948 0.02621
NM_001044203.1  0.03024 0.01808 0.00010 0.01851 0.21352 0.01800 0.01286 999.00000 0.00245 0.03891 0.00358 0.07588 0.02435
NM_001044213.1  999.00000 0.01848 0.00010 0.01687 0.00584 0.01617 0.00010 0.00508 0.00532 0.01024 0.01516 0.01523 0.01201
NM_001045492.1  0.00837 0.16691 306.53405 596.13166 0.00197 0.03137 0.00626 0.06553 0.00010 0.04746 0.02247 999.00000 0.00425
NM_001046638.1  0.00771 999.00000 0.02299 0.03471 0.00680 0.06301 0.00293 0.05840 0.00431 569.97957 0.00933 0.00350 0.28820
NM_001046639.1  363.40188 0.11910 0.13815 0.04228 0.07830 0.02338 0.00010 0.00677 999.00000 0.09683 0.03634 0.00976 0.06213
NM_001046642.1  271.36438 0.01624 0.00010 0.00356 0.03781 0.01029 999.00000 0.01201 0.00466 0.00469 0.00887 0.00569 0.00531
NM_001046643.1_2  0.01128 0.01627 467.98536 0.04840 0.00995 0.02014 29.61791 0.01810 0.22469 0.01441 0.01160 0.02997 0.01684
NM_001046644.1  999.00000 0.01139 0.00010 0.02198 0.00538 0.00500 999.00000 0.00580 0.00010 0.00472 0.01891 0.01188 0.00704
NM_001046645.1  0.00010 0.00159 48.78829 0.04542 0.05881 0.00858 855.59298 0.01069 0.00010 0.00861 0.01292 155.88343 0.00258
NM_001046647.1  0.00010 0.02880 0.00010 10.70207 0.00181 0.04353 389.08605 0.02475 0.02522 0.01398 0.00987 0.02203 0.01162
NM_001046650.1  7.00036 0.20381 6.27466 8.99636 0.00728 0.00540 0.03366 0.15969 1.08676 0.00146 0.00132 0.04029 0.03736
NM_001046651.1  160.34039 0.00993 75.09265 0.00010 0.00010 0.00928 583.58390 0.01670 214.28996 0.02717 0.00024 0.00015 0.00366
NM_001046652.1  0.00010 0.00099 0.00010 0.00010 0.00532 0.01648 0.00010 0.00023 0.00880 0.00689 0.00368 0.00285 0.03560
NM_001046654.1  0.00010 0.00869 999.00000 0.01227 0.02400 0.01850 0.10383 0.00884 999.00000 0.00706 0.01067 0.02932 0.01810
NM_001046655.2  999.00000 0.05364 0.14358 0.09902 0.04353 0.08814 999.00000 0.04333 999.00000 0.06816 0.04867 0.04865 0.12217
NM_001046656.1  999.00000 0.00905 999.00000 999.00000 0.03773 0.01161 999.00000 0.03921 999.00000 0.01286 0.05997 0.22647 0.00094
NM_001046658.1  0.00010 0.00721 0.04251 0.01006 0.01391 0.08263 0.05472 0.02209 999.00000 0.00698 0.03015 0.01525 0.01720
