GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043506.1 0.025564 0.026456 0.027852 0.058386 0.029259 0.018823 0.029622 0.046926
NM_001043507.1 0.016725 0.005153 0.002638 0.007904 0.010517 0.000015 0.012918 0.032556
NM_001043508.1 0.007699 0.002528 0.000110 0.005143 0.000085 0.000037 0.005052 0.023437
NM_001043516.1 0.079590 0.052663 0.102032 0.138486 0.082811 0.092535 0.072597 0.120390
NM_001043520.1 0.000109 0.004442 0.008801 0.000094 0.000086 0.000059 0.004319 0.006682
NM_001043522.1 0.135449 0.144055 0.156793 0.249838 0.121978 0.134818 0.148496 0.137985
NM_001043526.1 0.045657 0.037278 0.059557 0.042765 0.043146 0.038891 0.044317 0.064596
NM_001043530.2 0.175075 0.089943 0.124913 0.277868 0.065909 0.146756 0.157508 0.131854
NM_001043531.1 0.008787 0.001990 0.010487 0.015468 0.007226 0.005052 0.008325 0.010201
NM_001043532.1 0.059089 0.040452 0.038009 0.037394 0.046850 0.067731 0.044904 0.036785
NM_001043534.1 0.031689 0.037998 0.041043 0.041412 0.036522 0.005020 0.070773 0.051576
NM_001043535.2 0.052165 0.026070 0.075018 0.107402 0.124012 0.023626 0.073153 0.224141
NM_001043542.1 0.012365 0.010480 0.024341 0.013617 0.013092 0.003895 0.015911 0.040873
NM_001043543.1 0.029623 0.013308 0.026576 0.017909 0.021051 0.016166 0.017301 0.020363
NM_001043549.1 0.051843 0.030344 0.044899 0.100148 0.042161 0.058171 0.056033 0.065136
NM_001043553.1 0.033649 0.023511 0.033736 0.059868 0.029045 0.047360 0.067441 0.055720
NM_001043568.1 0.080529 0.004136 0.400847 0.025452 0.044240 0.042855 0.057183 0.062042
NM_001043583.1 0.008811 0.010767 0.033628 0.020157 0.009370 0.020133 0.024650 0.028049
NM_001043585.1 0.047393 0.030977 0.018512 0.065994 0.058824 0.038916 0.018806 0.061693
NM_001043587.1 0.129427 0.070148 0.168998 0.174754 0.120755 0.104344 0.132015 0.100613
NM_001043589.1 0.050368 0.024275 0.048158 0.027146 0.047905 0.042127 0.030901 0.059107
NM_001043594.1 0.020177 0.061993 0.019092 0.021519 0.013461 0.007512 0.009606 0.022539
NM_001043595.1 0.007790 0.007416 0.007386 0.032374 0.007311 0.007678 0.016883 0.043550
NM_001043609.2 0.167530 0.175790 0.188211 0.171303 0.123688 0.238908 0.161024 0.110793
NM_001043610.1 0.029861 0.021626 0.032971 0.017740 0.047443 0.042572 0.014444 0.025545
NM_001043619.1 0.069251 0.034104 0.049208 0.083724 0.023063 0.061994 0.025776 0.059640
NM_001043622.1 0.009323 0.000044 0.001543 0.003097 0.000042 0.000037 0.004802 0.013841
NM_001043625.1 0.256144 0.150490 0.268352 0.648026 0.220542 0.186448 0.174121 0.202219
NM_001043629.1 0.014579 0.006477 0.036377 0.023682 0.022448 0.015969 0.014938 0.018768
NM_001043634.1 0.113837 0.065981 0.073859 0.152113 0.105997 0.169987 0.098962 0.246251
NM_001043637.1 0.015116 0.019363 0.033613 0.078346 0.021240 0.064237 0.032624 0.112222
NM_001043643.1 0.008908 0.014602 0.020124 0.024873 0.014953 0.019560 0.024086 0.010559
NM_001043646.1 0.010898 0.008139 0.002795 0.011242 0.000116 0.008453 0.011076 0.005447
NM_001043649.1 0.003165 0.000041 0.000080 0.000075 0.000045 0.003089 0.000046 0.000092
NM_001043655.1 0.104500 0.068977 0.042198 0.068416 0.281198 0.103782 0.146461 0.084645
NM_001043658.1 0.014711 0.014141 0.012086 0.010386 0.003443 0.010695 0.008696 0.025061
NM_001043661.1 0.000631 0.006054 0.016323 0.010923 0.009945 0.006317 0.007836 0.005606
NM_001043670.1 0.011464 0.010629 0.035089 0.022937 0.008407 0.010915 0.024111 0.033880
NM_001043673.1 0.009404 0.000041 0.009919 0.009653 0.009904 0.004704 0.019494 0.009426
NM_001043676.1 0.000051 0.000038 0.005641 0.003720 0.000041 0.003722 0.009426 0.000073
NM_001043685.1 0.012059 0.006266 0.007761 0.010077 0.031859 0.011967 0.027967 0.017765
NM_001043688.1 0.005189 0.019504 0.017843 0.007924 0.013150 0.016297 0.005216 0.022210
NM_001043691.1 0.016377 0.009060 0.023279 0.006844 0.009134 0.004587 0.016111 0.038431
NM_001043694.1 0.079317 0.029896 0.166940 0.065076 0.000063 0.041292 0.048819 0.058970
NM_001043706.1 0.101694 0.028997 0.029280 0.057572 0.067924 0.047627 0.037175 0.062152
NM_001043712.1 0.019646 0.065937 0.587907 0.868848 0.064307 0.088313 0.161886 0.086684
NM_001043721.1 0.079252 0.058876 0.061926 0.181358 0.130124 0.065031 0.103909 0.137885
NM_001043724.1 0.010281 0.011385 0.014362 0.005046 0.005192 0.010328 0.015109 0.015578
NM_001043730.1 0.133643 0.032203 0.117840 0.072681 0.100288 0.076674 0.228322 0.064933
NM_001043746.1 0.013168 0.005699 0.033108 0.047032 0.019111 0.031972 0.013874 0.033688
NM_001043750.2 0.003337 0.000010 0.000055 0.000047 0.027178 0.003370 0.000066 0.000100
NM_001043752.1 0.007588 0.007736 0.015640 0.007715 0.015427 0.007574 0.012885 0.029425
NM_001043754.1 0.014421 0.004653 0.020006 0.017031 0.016929 0.007266 0.019190 0.007343
NM_001043756.4 0.000061 0.002250 0.006954 0.000041 0.000038 0.000036 0.002273 0.004545
NM_001043758.1 0.017192 0.019189 0.015706 0.014540 0.016956 0.011630 0.029111 0.000090
NM_001043760.1 0.007017 0.000039 0.018207 0.003002 0.015077 0.005844 0.011508 0.016308
NM_001043762.1 0.000039 0.000026 0.000061 0.000034 0.000043 0.000025 0.003383 0.000029
NM_001043766.1 0.005889 0.014688 0.008716 0.005796 0.014705 0.005846 0.014024 0.003649
NM_001043776.1 0.003825 0.019554 0.015388 0.007540 0.007651 0.000108 0.003809 0.003784
NM_001043780.1 0.005108 0.015118 0.015206 0.003727 0.000063 0.011359 0.015862 0.010913
NM_001043788.1 0.002517 0.000073 0.005047 0.005039 0.002508 0.005035 0.000054 0.000107
NM_001043790.1 0.011348 0.003940 0.016320 0.006017 0.013828 0.003048 0.005435 0.006458
NM_001043792.1 0.003046 0.021641 0.003945 0.000077 0.000185 0.003885 0.004650 0.010889
NM_001043798.1 0.007929 0.044854 0.010527 0.021304 0.013310 0.002616 0.007904 0.035202
NM_001043800.1 0.002207 0.000025 0.000054 0.000075 0.002229 0.000060 0.009106 0.000077
NM_001043802.1 0.006629 0.000065 0.009846 0.003308 0.000034 0.006541 0.006546 0.000046
NM_001043804.2 0.003499 0.000033 0.000154 0.000047 0.007166 0.000047 0.006981 0.000092
NM_001043808.1 0.000010 0.000030 0.000076 0.000066 0.003182 0.000030 0.003198 0.009652
NM_001043824.1 0.029495 0.029654 0.034345 0.120942 0.009849 0.013884 0.056787 0.088705
NM_001043832.1 0.225697 0.103055 0.094107 0.210034 0.098528 0.166747 0.179062 0.213248
NM_001043834.1 0.017579 0.034037 0.097038 0.075087 0.043111 0.015484 0.048265 0.035336
NM_001043836.1 0.022041 0.010725 0.011168 0.046679 0.054943 0.005423 0.019546 0.073335
NM_001043844.1 0.136829 0.119667 0.115564 0.186193 0.145406 0.122216 0.113418 0.200936
NM_001043850.1 0.009201 0.004968 0.015898 0.069764 0.007875 0.011657 0.034601 0.024668
NM_001043858.1 0.033393 0.007312 0.028466 0.017352 0.011076 0.008627 0.016956 0.036422
NM_001043860.1 0.056529 0.053675 0.043412 0.053061 0.048536 0.042752 0.048593 0.062333
NM_001043864.1 0.013540 0.008141 0.020980 0.030695 0.021768 0.002714 0.006811 0.025005
NM_001043870.1 0.060368 0.137938 0.058062 0.117717 0.073061 0.084536 0.094409 0.050125
NM_001043872.1 0.047011 0.027975 0.047095 0.073851 0.038981 0.038402 0.031547 0.048619
NM_001043874.1 0.016922 0.019182 0.046934 0.030640 0.052472 0.017627 0.026567 0.017019
NM_001043876.1 0.011229 0.009746 0.014894 0.021289 0.013222 0.011497 0.011713 0.016207
NM_001043878.2 0.078545 0.087309 0.133692 0.092508 0.063339 0.055656 0.168000 0.048279
NM_001043880.1 0.023547 0.006675 0.008254 0.012346 0.017267 0.013943 0.016469 0.024718
NM_001043882.1 0.033192 0.027460 0.063172 0.040092 0.016925 0.045837 0.056712 0.044029
NM_001043899.2 0.072698 0.033304 0.015150 0.030759 0.000214 0.006526 0.073374 0.019662
NM_001043913.1 0.081922 0.028042 0.022772 0.037862 0.037412 0.023934 0.045685 0.051480
NM_001043917.1 0.027717 0.020326 0.031182 0.042967 0.038485 0.020599 0.029195 0.063334
NM_001043925.2 0.008487 0.000131 0.011233 0.010957 0.005469 0.005546 0.000099 0.000071
NM_001043939.1 0.013659 0.006520 0.022448 0.023292 0.014974 0.003505 0.018050 0.016126
NM_001043941.1 0.110874 0.143782 0.160407 0.185874 0.116036 0.116688 0.130778 0.122962
NM_001043943.2 0.035557 0.038161 0.059475 0.055466 0.026848 0.029261 0.037406 0.040877
NM_001043949.1 0.041213 0.031471 0.083440 0.090890 0.083017 0.056327 0.038836 0.078048
NM_001043953.2 0.009267 0.006683 0.023426 0.025164 0.015479 0.006192 0.011808 0.021409
NM_001043965.1 0.107800 0.049515 0.056925 0.095716 0.069335 0.075530 0.072684 0.082966
NM_001043969.1 0.070370 0.074254 0.036927 0.126548 0.051131 0.037233 0.078504 0.046044
NM_001043971.1 0.006469 0.006413 0.003300 0.016081 0.005950 0.004880 0.008528 0.008488
NM_001043975.1 0.084283 0.043238 0.087187 0.081999 0.045954 0.058464 0.046990 0.075312
NM_001043977.1 0.031022 0.038438 0.033122 0.037337 0.074852 0.028242 0.027039 0.065169
NM_001043983.1 0.240416 0.019203 0.040115 0.203546 0.066716 0.046186 0.085490 0.173338
NM_001043985.1 0.317713 0.146260 0.120854 0.175578 0.244704 0.155183 0.133601 0.179607
NM_001043989.1 0.062118 0.018580 0.033287 0.000061 0.011824 0.000000 0.105505 0.062888
NM_001044011.1 0.222086 0.604845 0.095640 0.086229 0.068469 0.681811 0.180754 0.288079
NM_001044019.1 0.000151 0.005764 0.007296 0.011681 0.005720 0.007194 0.007233 0.015672
NM_001044029.1 0.247392 0.104136 0.940162 0.150340 0.806736 0.127725 0.843769 0.143243
NM_001044037.1 0.008007 0.013184 0.032691 0.038946 0.022261 0.008503 0.027779 0.030848
NM_001044043.1 0.000038 0.003127 0.012901 0.003192 0.003193 0.012975 0.009694 0.016287
NM_001044055.1 0.007818 0.000000 0.000139 0.000036 0.000027 0.000042 0.000053 0.015958
NM_001044057.1 0.013194 0.013031 0.039648 0.008372 0.013024 0.031168 0.012840 0.035052
NM_001044059.1 0.016284 0.000043 0.038150 0.043684 0.016426 0.027071 0.023275 0.027848
NM_001044063.2 0.000032 0.000086 0.000067 0.004444 0.022961 0.008250 0.000098 0.009340
NM_001044069.1_2 0.064807 0.040122 0.049900 0.070273 0.092055 0.052376 0.056380 0.098987
NM_001044073.1 0.008823 0.005422 0.012393 0.000082 0.006031 0.000147 0.000075 0.003127
NM_001044075.1 0.013902 0.020369 0.032320 0.063762 0.014050 0.008489 0.018843 0.018786
NM_001044077.1 0.021846 0.043410 0.028662 0.032943 0.027088 0.033567 0.014038 0.042321
NM_001044079.1 0.041291 0.022186 0.039348 0.057751 0.021462 0.041760 0.060432 0.040974
NM_001044087.1 0.011107 0.004270 0.040038 0.020065 0.021893 0.016227 0.025379 0.012885
NM_001044091.1 0.041856 0.011882 0.029531 0.051083 0.024738 0.042446 0.049732 0.029192
NM_001044099.1 0.000064 0.000034 0.005426 0.003591 0.001798 0.000051 0.001793 0.001788
NM_001044101.1 0.005411 0.005466 0.023870 0.020521 0.010972 0.003604 0.011252 0.012788
NM_001044105.1 0.000051 0.006970 0.000077 0.000049 0.000044 0.000068 0.003460 0.000079
NM_001044111.1 0.014977 0.007298 0.012545 0.015996 0.026495 0.012962 0.009428 0.039731
NM_001044121.1 0.023788 0.003891 0.036178 0.015817 0.037855 0.015472 0.061536 0.055440
NM_001044123.2 0.000736 0.009675 0.004784 0.008968 0.004806 0.009006 0.004871 0.009437
NM_001044131.1 0.029200 0.031550 0.049675 0.046844 0.025669 0.013030 0.024919 0.065387
NM_001044135.1 0.062827 0.013431 0.062979 0.046023 0.032923 0.033900 0.029598 0.042794
NM_001044137.1 0.014682 0.015449 0.034706 0.010685 0.010765 0.019037 0.014776 0.019512
NM_001044145.1 0.063268 0.117453 0.127416 0.130877 0.228795 0.138108 0.184404 0.123883
NM_001044147.1 0.007511 0.000097 0.000143 0.000184 0.000111 0.002489 0.000065 0.002479
NM_001044163.1 0.001183 0.000058 0.008344 0.005907 0.008320 0.000062 0.002362 0.008399
NM_001044165.1 0.000371 0.000000 0.000169 0.000131 0.000428 0.006018 0.000075 0.006198
NM_001044171.1 0.113334 0.203238 0.131688 0.142044 0.350823 0.159596 0.160471 0.210910
NM_001044177.1 0.099198 0.107995 0.111792 0.081772 0.102228 0.071750 0.083008 0.144297
NM_001044179.1 0.020140 0.009257 0.017241 0.042768 0.006586 0.013227 0.007677 0.028767
NM_001044183.1 0.029610 0.018154 0.014828 0.056490 0.018102 0.036735 0.030138 0.053433
NM_001044191.1 0.001110 0.005202 0.011085 0.004798 0.009959 0.008619 0.006793 0.014756
NM_001044195.1 0.032520 0.021787 0.035913 0.061672 0.050243 0.057252 0.047464 0.060212
NM_001044197.1 0.039126 0.099214 0.067119 0.039235 0.019107 0.104295 0.068657 0.074031
NM_001044199.1 0.044848 0.019579 0.047713 0.049187 0.072444 0.040524 0.039686 0.057885
NM_001044203.1 0.029502 0.013598 0.039322 0.035123 0.017581 0.014087 0.035497 0.028638
NM_001044213.1 0.013901 0.003865 0.016855 0.004808 0.006728 0.009634 0.013127 0.017987
NM_001045492.1 0.089519 0.137471 0.051752 0.085690 0.042172 0.045371 0.049429 0.068955
NM_001046638.1 0.006008 0.001288 0.055851 0.069486 0.040707 0.034665 0.029567 0.135192
NM_001046639.1 0.162892 0.060214 0.054326 0.104648 0.051115 0.072105 0.071814 0.086748
NM_001046642.1 0.024237 0.021129 0.014012 0.022158 0.006754 0.011562 0.012766 0.013913
NM_001046643.1_2 0.029130 0.013417 0.022028 0.031950 0.025224 0.015732 0.032351 0.027471
NM_001046644.1 0.015302 0.005162 0.005196 0.007539 0.011050 0.005407 0.019160 0.013439
NM_001046645.1 0.098343 0.083926 0.048114 0.085962 0.158596 0.774331 0.094478 0.159040
NM_001046647.1 0.032919 0.003787 0.049056 0.071853 0.022883 0.020910 0.036123 0.030904
NM_001046650.1 0.144560 0.054036 0.124161 0.157065 0.117715 0.106769 0.099223 0.149355
NM_001046651.1 0.032677 0.000207 0.036773 0.027029 0.031586 0.017999 0.011369 0.019345
NM_001046652.1 0.002710 0.005388 0.018762 0.002693 0.008084 0.005416 0.010901 0.005580
NM_001046654.1 0.016465 0.014013 0.033247 0.013074 0.011057 0.011498 0.013733 0.019673
NM_001046655.2 0.092480 0.060950 0.100246 0.098983 0.100891 0.086407 0.081078 0.170590
NM_001046656.1 0.089448 0.076386 0.157993 0.168265 0.118154 0.136702 0.141890 0.081811
NM_001046658.1 0.014703 0.022539 0.016977 0.017278 0.008466 0.022260 0.021930 0.017945
NM_001046659.1 0.085156 0.011714 0.079119 0.039904 0.082195 0.041240 0.041575 0.074543
NM_001046660.1 0.000233 0.000000 0.014719 0.005820 0.000107 0.000150 0.000249 0.005866
NM_001046661.1 0.013916 0.017093 0.023969 0.020877 0.017266 0.013673 0.020939 0.017126
NM_001046662.1 0.017969 0.014963 0.020291 0.021755 0.024916 0.014413 0.024218 0.028334
NM_001046663.1 0.033756 0.019871 0.038604 0.048343 0.019598 0.013036 0.043393 0.055730
NM_001046666.1 0.055296 0.038747 0.033202 0.070834 0.051496 0.041644 0.050513 0.044540
NM_001046667.1 0.040468 0.018562 0.025580 0.041922 0.019677 0.016727 0.021810 0.024756
NM_001046669.2 0.022165 0.002336 0.019325 0.022463 0.019467 0.021156 0.014381 0.035710
NM_001046673.1 0.048344 0.017327 0.026321 0.063967 0.020715 0.000065 0.074182 0.006681
NM_001046677.1 0.212455 0.079400 0.095910 0.217890 0.117778 0.127862 0.244171 0.132807
NM_001046678.1 0.071044 0.044110 0.095668 0.105622 0.152911 0.063170 0.074045 0.048474
NM_001046682.1 0.005040 0.007288 0.000322 0.022454 0.007360 0.007095 0.014875 0.022279
NM_001046688.1 0.031558 0.011016 0.063373 0.034912 0.012860 0.018775 0.023846 0.035237
NM_001046691.1 0.005589 0.002768 0.005710 0.002854 0.043607 0.011743 0.002817 0.002799
NM_001046692.1 0.097582 0.036697 0.029849 0.129500 0.126064 0.088814 0.088522 0.226246
NM_001046698.1 0.074684 0.055426 0.085484 0.155648 0.100384 0.039350 0.088589 0.107216
NM_001046699.1 0.000005 0.003355 0.017333 0.000026 0.000031 0.003319 0.003331 0.000056
NM_001046701.1 0.011681 0.004561 0.013745 0.013880 0.014205 0.009120 0.014160 0.016280
NM_001046702.1 0.054110 0.040073 0.063730 0.218179 0.056408 0.016479 0.042479 0.031498
NM_001046703.1 0.000051 0.000068 0.006068 0.002942 0.002956 0.000049 0.000055 0.005942
NM_001046705.1 0.009930 0.017283 0.017097 0.019788 0.022322 0.007286 0.022722 0.017635
NM_001046707.1 0.095957 0.017795 0.042572 0.092247 0.014246 0.045689 0.017458 0.042296
NM_001046708.1 0.005211 0.021186 0.005257 0.005233 0.010546 0.000015 0.005284 0.010828
NM_001046711.1 0.067452 0.054247 0.091832 0.079609 0.064534 0.028522 0.040405 0.071905
NM_001046714.1 0.001545 0.002733 0.005361 0.008107 0.038607 0.002677 0.012552 0.020057
NM_001046719.1 0.053229 0.074348 0.059381 0.033299 0.081075 0.070313 0.075199 0.070093
NM_001046720.1 0.017586 0.020318 0.063899 0.063592 0.024377 0.045492 0.036737 0.067367
NM_001046721.1 0.014786 0.012266 0.042580 0.058757 0.025412 0.032996 0.030965 0.071099
NM_001046726.1 0.072536 0.046081 0.043243 0.057376 0.032171 0.079352 0.060135 0.122657
NM_001046729.1 0.074758 0.067449 0.069040 0.090548 0.087698 0.070005 0.070985 0.064150
NM_001046731.1 0.027381 0.028107 0.050201 0.024905 0.022754 0.027493 0.023743 0.079103
NM_001046733.1 0.066786 0.029256 0.418583 0.083217 0.059464 0.093734 0.027399 0.039097
NM_001046735.1 0.061215 0.029451 0.095296 0.127966 0.020325 0.096781 0.052886 0.082094
NM_001046737.1 0.042447 0.005762 0.000000 0.034565 0.043095 0.043385 0.006521 0.034704
NM_001046739.1 0.014228 0.001726 0.021287 0.013962 0.005269 0.000109 0.010216 0.012335
NM_001046740.1 0.179328 0.045810 0.114644 0.062755 0.104021 0.065910 0.082982 0.117668
NM_001046741.1 0.044325 0.032609 0.016745 0.052570 0.061418 0.136306 0.046718 0.200204
NM_001046744.1 0.000200 0.004579 0.026208 0.016147 0.024126 0.007729 0.014260 0.012297
NM_001046745.1 0.049616 0.012935 0.051129 0.059812 0.038784 0.035544 0.027213 0.056126
NM_001046747.1 0.023127 0.050024 0.036829 0.058150 0.070354 0.022236 0.077038 0.062799
NM_001046748.1 0.049474 0.041022 0.041941 0.036610 0.052534 0.061632 0.049930 0.091368
NM_001046749.1 0.044538 0.013476 0.045341 0.044091 0.027371 0.015650 0.023648 0.048371
NM_001046752.1 0.051120 0.020902 0.068974 0.081610 0.085741 0.041947 0.024611 0.118143
NM_001046754.1 0.089771 0.021042 0.056213 0.143469 0.086146 0.076464 0.052985 0.029056
NM_001046755.1 0.053224 0.000097 0.650506 0.033040 0.051203 0.070914 0.049714 0.067177
NM_001046757.1 0.063762 0.027125 0.053880 0.068934 0.046423 0.062220 0.043165 0.087370
NM_001046758.1 0.022405 0.001839 0.019060 0.003641 0.007371 0.009321 0.005579 0.003731
NM_001046765.1 0.067485 0.126274 0.136553 0.087307 0.076946 0.099332 0.088389 0.119571
NM_001046767.1 0.044582 0.019294 0.047762 0.088205 0.080670 0.029324 0.045193 0.069713
NM_001046768.1 0.033448 0.009071 0.033711 0.047016 0.008859 0.006603 0.016455 0.019838
NM_001046770.1 0.105953 0.058928 0.104634 0.089620 0.135664 0.171571 0.080186 0.120837
NM_001046773.1 0.013733 0.006777 0.002238 0.009011 0.006727 0.006583 0.006709 0.002228
NM_001046776.1 0.007184 0.000034 0.000061 0.002317 0.000074 0.006953 0.000107 0.011747
NM_001046777.1 0.038061 0.033996 0.037594 0.029908 0.040408 0.032763 0.039567 0.077371
NM_001046780.1 0.011787 0.342065 0.009551 0.009666 0.053115 0.042103 0.011812 0.014912
NM_001046781.1 0.039182 0.084263 0.042234 0.173035 0.055455 0.079582 0.057217 0.055109
NM_001046786.1 0.009873 0.029251 0.011765 0.025654 0.026112 0.014503 0.022401 0.029664
NM_001046787.1 0.061335 0.029387 0.034268 0.096119 0.035582 0.033134 0.043621 0.046474
NM_001046789.1 0.014845 0.007290 0.007560 0.032151 0.003666 0.000216 0.014174 0.049231
NM_001046790.1 0.018366 0.027866 0.045825 0.070350 0.012638 0.014773 0.035470 0.084306
NM_001046791.1 0.078376 0.018782 0.066362 0.125927 0.027468 0.048289 0.052761 0.044962
NM_001046792.1 0.021535 0.008633 0.030894 0.029363 0.006760 0.708244 0.739875 0.019053
NM_001046796.1 0.037478 0.023111 0.003153 0.000147 0.003197 0.009846 0.006473 0.053299
NM_001046801.1 0.052673 0.041598 0.092174 0.123031 0.053264 0.044151 0.058587 0.169446
NM_001046804.1 0.030072 0.008994 0.034109 0.047691 0.053524 0.031048 0.019162 0.082276
NM_001046805.1 0.000059 0.000058 0.000141 0.033353 0.000197 0.000070 0.005698 0.011517
NM_001046808.1 0.014285 0.026816 0.046288 0.015041 0.026280 0.014108 0.025026 0.042797
NM_001046809.1 0.002031 0.000049 0.008115 0.002012 0.000082 0.006219 0.000065 0.010126
NM_001046810.1 0.001049 0.010491 0.010293 0.020961 0.005171 0.001687 0.015438 0.005036
NM_001046813.1 0.027245 0.027521 0.089002 0.035662 0.024546 0.032471 0.026773 0.038384
NM_001046815.1 0.002468 0.000105 0.000084 0.012282 0.000086 0.002428 0.002444 0.007495
NM_001046816.1 0.035893 0.034259 0.045760 0.075937 0.051632 0.052549 0.043444 0.054937
NM_001046818.1 0.043284 0.057801 0.031580 0.113571 0.025891 0.011677 0.043114 0.032848
NM_001046821.1 0.018672 0.014851 0.010955 0.038703 0.011109 0.003785 0.009543 0.017091
NM_001046822.1 0.043091 0.025047 0.038452 0.069682 0.022124 0.028198 0.013931 0.021908
NM_001046827.1 0.051165 0.034078 0.074901 0.036760 0.029490 0.038579 0.044054 0.059008
NM_001046828.1 0.040989 0.023782 0.036783 0.057119 0.043976 0.035024 0.061395 0.065662
NM_001046832.1 0.111824 0.026338 0.048731 0.067159 0.024728 0.020432 0.033795 0.039724
NM_001046833.1 0.069701 0.037377 0.151359 0.111329 0.063406 0.078542 0.151513 0.138174
NM_001046834.1 0.029763 0.013194 0.017408 0.088705 0.017439 0.018982 0.054482 0.038843
NM_001046835.1 0.077927 0.034784 0.046485 0.034416 0.034812 0.032586 0.045039 0.078903
NM_001046836.1 0.055310 0.032189 0.085310 0.057913 0.062339 0.037402 0.039303 0.085897
NM_001046837.1 0.036396 0.032873 0.049910 0.095776 0.044120 0.044819 0.021887 0.039920
NM_001046839.1 0.063620 0.032240 0.090029 0.150905 0.052985 0.069949 0.036053 0.047870
NM_001046841.1 0.029045 0.013673 0.021323 0.049358 0.037200 0.013604 0.076522 0.050458
NM_001046844.1 0.096927 0.047449 0.096687 0.120786 0.104600 0.105889 0.102419 0.202540
NM_001046845.1 0.048791 0.028338 0.033525 0.113899 0.062450 0.058995 0.057790 0.032094
NM_001046848.1 0.023669 0.040866 0.038069 0.021041 0.010442 0.000493 0.009227 0.022021
NM_001046850.1 0.068347 0.085492 0.081152 0.103568 0.068698 0.074611 0.071867 0.100861
NM_001046851.1 0.043849 0.021233 0.041397 0.055148 0.015755 0.021634 0.063221 0.023959
NM_001046852.1_2 0.185497 0.178191 0.119417 0.162238 0.162773 0.069466 0.141741 0.149180
NM_001046853.1 0.188191 0.055417 0.144023 0.136205 0.151472 0.077808 0.120508 0.141953
NM_001046854.1 0.786874 0.046044 0.080635 0.819832 0.068913 0.071976 0.108112 0.096990
NM_001046855.1 0.105044 0.033953 0.070325 0.078089 0.047463 0.059867 0.067326 0.104162
NM_001046857.1 0.009320 0.001242 0.013640 0.006616 0.008578 0.017634 0.012324 0.019760
NM_001046859.1 0.004793 0.019118 0.014366 0.000269 0.807489 0.000000 0.009654 0.019138
