GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043583.1 0.01474 0.02538 0.04254 0.08230 0.01524 0.04579 0.08806 0.04579
NM_001043585.1 0.01260 0.07513 0.01043 0.02981 0.02299 0.05365 0.00405 0.03735
NM_001043587.1 0.01925 0.01463 0.06556 0.05349 0.04229 0.01082 0.04212 0.04982
NM_001043589.1 0.06456 0.02157 0.06192 0.02353 0.01666 0.03501 0.04851 0.04138
NM_001043594.1 0.01792 0.06954 0.01371 0.02120 0.01527 0.00349 0.01038 0.01520
NM_001043595.1 0.00582 0.02302 0.00345 0.03502 0.01603 0.00454 0.01582 0.04191
NM_001043609.2 0.04538 0.10970 0.06474 0.06451 0.01997 0.35829 0.04183 0.10860
NM_001043610.1 0.03227 0.02908 0.04162 0.02897 0.04512 0.05020 0.01409 0.01949
NM_001043619.1 0.07140 0.00051 0.06294 0.08291 0.01802 0.00093 0.04674 0.06390
NM_001043622.1 0.01673 0.00010 0.00199 0.00592 0.00010 0.00010 0.00733 0.02074
NM_001043625.1 0.03247 0.03715 0.00384 0.00944 0.00315 0.05398 0.21207 0.07346
NM_001043629.1 0.00981 0.01173 0.02679 0.00929 0.00487 0.03470 0.01275 0.00108
NM_001043634.1 0.10326 0.14537 0.13758 0.10887 0.12250 0.21925 0.14704 0.17579
NM_001043637.1 0.02460 0.00750 570.83517 0.02234 0.03283 0.02860 112.93071 0.02218
NM_001043643.1 0.05374 0.04209 0.04694 0.04531 0.03764 0.19895 0.23319 0.03046
NM_001043646.1 0.00689 0.01299 0.00367 0.02008 0.00010 0.00832 0.01486 0.00299
NM_001043649.1 0.00728 0.00010 0.00010 0.00010 0.00010 0.01674 0.00010 0.00010
NM_001043655.1 0.06073 0.03265 830.77878 0.03961 0.03744 999.00000 0.07044 0.00129
NM_001043658.1 0.02679 0.03392 0.01539 0.01909 0.00633 0.01835 0.01082 0.03909
NM_001043661.1 0.00114 0.01240 0.02510 0.01450 0.01831 0.01078 0.01010 0.00653
NM_001043670.1 0.01231 0.01635 0.03163 0.03075 0.01057 0.02699 0.03891 0.03463
NM_001043673.1 0.01440 0.00010 0.00629 0.02693 0.01253 0.00367 0.02290 0.02321
NM_001043676.1 0.00010 0.00010 0.00587 0.00674 0.00010 0.00955 0.01334 0.00010
NM_001043685.1 0.02828 0.01375 0.01320 0.01025 0.07390 0.01840 0.04529 0.02137
NM_001043688.1 0.00553 0.08942 0.01529 0.01857 0.02327 0.02723 0.01077 0.02108
NM_001043691.1 0.05222 0.01771 0.03565 0.01257 0.01557 0.01135 0.02416 0.06601
NM_001043694.1 0.10039 0.03003 0.09593 0.06700 0.00010 0.11614 0.03122 0.11846
NM_001043706.1 0.12816 0.06918 0.03157 0.09117 0.07350 0.08358 0.05147 0.08874
NM_001043712.1 0.00086 0.04791 0.50813 0.03363 0.00114 100.28130 0.00287 0.00153
NM_001043721.1 0.02996 0.03356 0.01204 0.00280 0.01717 0.12420 0.05376 0.16875
NM_001043724.1 0.01374 0.01621 0.02108 0.00753 0.00365 0.01758 0.02108 0.00698
NM_001043730.1 0.11559 0.01130 0.02851 0.07103 0.04967 0.01933 0.10844 0.01875
NM_001043746.1 0.01542 0.00532 0.04467 0.03692 0.01778 0.02442 0.01446 0.04244
NM_001043750.2 0.00655 0.00010 0.00010 0.00010 0.06784 0.00919 0.00010 0.00010
NM_001043752.1 0.01301 0.01763 0.02246 0.01439 0.03274 0.02026 0.02039 0.03135
NM_001043754.1 0.02112 0.00610 0.01835 0.01852 0.01989 0.01847 0.03892 0.00717
NM_001043756.4 0.00010 0.00813 0.00641 0.00010 0.00010 0.00010 0.00602 0.01013
NM_001043758.1 0.03161 0.04089 0.02241 0.02353 0.02203 0.01934 0.04774 0.00010
NM_001043760.1 0.00479 0.00010 0.01275 0.00384 0.02637 0.00966 0.01539 0.02039
NM_001043762.1 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00826 0.00010
NM_001043766.1 0.00664 0.02013 0.00912 0.01211 0.02167 0.01287 0.01816 0.00444
NM_001043776.1 0.00345 0.02637 0.00847 0.00712 0.00884 0.00010 0.00164 0.00315
NM_001043780.1 0.00786 0.02376 0.02947 0.00738 0.00010 0.06709 0.02233 0.02025
NM_001043788.1 0.00459 0.00010 0.00340 0.00675 0.00509 0.00869 0.00010 0.00010
NM_001043790.1 0.01469 0.01163 0.02525 0.00898 0.01871 0.00669 0.01242 0.00549
NM_001043792.1 0.00147 0.02522 0.00136 0.00010 0.00010 0.00304 0.00771 0.00014
NM_001043798.1 0.01181 0.07505 0.01565 0.03428 0.02532 0.00425 0.01194 0.03556
NM_001043800.1 0.00410 0.00010 0.00010 0.00010 0.00389 0.00010 0.01070 0.00010
NM_001043802.1 0.01331 0.00010 0.01087 0.00345 0.00010 0.01981 0.00920 0.00010
NM_001043804.2 0.00547 0.00010 0.00010 0.00010 0.00797 0.00010 0.01244 0.00010
NM_001043808.1 0.00010 0.00010 0.00010 0.00010 0.00800 0.00010 0.00833 0.01577
NM_001043824.1 0.02125 0.01351 0.01343 0.03959 0.00374 0.04548 0.04749 0.00126
NM_001043832.1 0.03738 0.00148 0.21600 0.13346 0.00141 0.25539 0.04202 0.07684
NM_001043834.1 0.02520 0.07012 0.00137 0.03451 0.04603 0.01370 0.05570 0.02441
NM_001043836.1 0.03783 0.02292 0.01393 0.06695 0.06534 0.00619 0.02990 0.08560
NM_001043844.1 0.05577 0.09310 0.06667 0.06215 0.08185 0.06599 0.04696 0.10045
NM_001043850.1 0.00969 0.00784 0.01377 0.04032 0.00643 0.01854 0.03799 0.01596
NM_001043858.1 0.03416 0.01388 0.01715 0.00441 0.01725 0.01757 0.01211 0.05274
NM_001043860.1 0.01770 0.01850 0.01144 0.01801 0.02160 0.01803 0.02395 0.02713
NM_001043864.1 0.01709 0.14612 0.01842 0.03808 0.01374 0.00826 0.00800 0.01990
NM_001043870.1 0.02661 0.03940 0.02679 0.02568 0.01610 0.02272 0.01698 0.00685
NM_001043872.1 0.01970 0.02229 0.01882 0.06520 0.02884 0.01501 0.00555 0.03042
NM_001043874.1 0.01550 0.01300 0.02359 0.02685 0.02970 0.00942 0.00885 0.00955
NM_001043876.1 0.02413 0.02320 0.02687 0.03922 0.01829 0.01827 0.00936 0.01782
NM_001043878.2 0.03624 0.03805 0.03653 0.03150 0.02481 0.02217 0.17413 0.01363
NM_001043880.1 0.01476 0.00751 0.00844 0.01289 0.01807 0.01486 0.01556 0.01704
NM_001043882.1 0.02586 0.02385 0.03135 0.01859 0.00663 0.04521 0.02941 0.01165
NM_001043899.2 0.04589 0.15524 0.01301 0.01979 0.00027 0.01397 0.10874 0.01782
NM_001043913.1 0.00128 0.03294 0.01476 0.03183 0.01587 0.01920 0.02414 0.04210
NM_001043917.1 0.02997 0.02486 0.04166 0.04157 0.06817 0.03328 0.02652 0.00640
NM_001043925.2 0.00566 0.00010 0.01400 0.01143 0.01140 0.00543 0.00010 0.00010
NM_001043939.1 0.01556 0.00636 0.01878 0.02669 0.02703 0.00266 0.01422 0.01139
NM_001043941.1 0.08475 0.05884 0.00230 0.10021 0.04862 0.13742 0.05598 0.05577
NM_001043943.2 0.02126 0.04969 0.04141 0.02356 0.02051 0.01848 0.02183 0.02110
NM_001043949.1 0.02703 0.02474 0.04133 0.06433 0.03524 0.03022 0.01849 0.03790
NM_001043953.2 0.00989 0.00955 0.00984 0.00225 0.01219 0.00657 0.00489 0.02562
NM_001043965.1 0.11954 0.04700 0.05715 0.06135 0.04412 0.08076 0.01036 0.02512
NM_001043969.1 0.03124 0.03880 0.04386 0.06941 0.04382 0.02331 0.04054 0.02590
NM_001043971.1 0.01671 0.01093 0.00367 0.02138 0.00780 0.00304 0.00955 0.00862
NM_001043975.1 0.04281 0.01495 0.04877 0.07997 0.02522 0.02171 0.02049 0.11122
NM_001043977.1 0.01897 0.01468 0.01235 0.02298 0.10643 0.00951 0.01475 0.03128
NM_001043983.1 0.00286 0.00023 103.90534 0.00241 0.02105 0.00790 0.05837 0.12244
NM_001043985.1 0.09436 0.00227 0.00187 0.01606 0.04666 0.04578 0.06128 0.15195
NM_001043989.1 0.07496 0.00291 0.01655 0.00010 0.00175 0.00010 0.09687 0.07587
NM_001044011.1 0.10144 0.36523 0.00154 0.00139 0.00110 0.67733 0.06197 0.00467
NM_001044019.1 0.00010 0.00537 0.00709 0.00500 0.00252 0.00119 0.00430 0.00953
NM_001044029.1 0.15999 0.00136 1.26330 0.00503 0.62706 0.00167 0.23643 0.00188
NM_001044037.1 0.01104 0.01120 0.03049 0.03952 0.01573 0.00787 0.03488 0.01826
NM_001044043.1 0.00010 0.01201 0.01803 0.00555 0.00367 0.02311 0.01865 0.04516
NM_001044055.1 0.02714 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.02944
NM_001044057.1 0.01893 0.02974 0.04008 0.00639 0.03009 0.02399 0.01725 0.04106
NM_001044059.1 0.02025 0.00010 0.03833 0.09458 0.02273 0.03039 0.04209 0.04958
NM_001044063.2 0.00010 0.00010 0.00010 0.00437 0.05000 0.01995 0.00010 0.01566
NM_001044069.1_2 0.08093 0.03175 0.03424 0.06016 0.04015 0.02889 0.04329 0.06949
NM_001044073.1 0.00942 0.01089 0.01281 0.00010 0.00727 0.00010 0.00010 0.00547
NM_001044075.1 0.01006 0.01669 0.02259 0.05209 0.02029 0.00809 0.01142 0.01288
NM_001044077.1 0.01245 0.02911 0.01162 0.00537 0.02051 0.02166 0.00768 0.01763
NM_001044079.1 0.01734 0.03520 0.02617 0.06159 0.04912 0.01496 0.03994 0.02046
NM_001044087.1 0.00582 0.00342 0.02252 0.00911 0.02297 0.00739 0.02293 0.00708
NM_001044091.1 0.07454 0.06521 0.02751 0.03022 0.04148 0.01827 0.11717 0.01830
NM_001044099.1 0.00010 0.00010 0.00595 0.00595 0.00333 0.00010 0.00352 0.00243
NM_001044101.1 0.01115 0.00934 0.03471 0.03929 0.01982 0.01414 0.02936 0.01636
NM_001044105.1 0.00010 0.01657 0.00010 0.00010 0.00010 0.00010 0.00581 0.00010
NM_001044111.1 0.02982 0.00656 0.01306 0.02113 0.02639 0.03265 0.01362 0.05574
NM_001044121.1 0.01554 0.00229 0.04365 0.06712 0.01689 0.03830 0.03933 0.21084
NM_001044123.2 0.00010 0.00101 999.00000 0.00560 0.00431 0.00421 0.00092 0.00964
NM_001044131.1 0.02039 0.03762 0.03630 0.05626 0.01495 0.01833 0.02953 0.02568
NM_001044135.1 0.00894 0.00223 0.01992 0.01704 0.00987 0.00974 0.00991 0.01531
NM_001044137.1 0.01126 0.03159 0.11068 0.00739 0.00904 0.02654 0.02275 0.01656
NM_001044145.1 0.10192 0.13153 0.06117 0.01669 0.09662 0.40662 0.05756 0.03301
NM_001044147.1 0.01276 0.00010 0.00010 0.00010 0.00010 0.00261 0.00010 0.00178
NM_001044163.1 0.00194 0.00010 0.01043 0.00906 0.01286 0.00010 0.00552 0.01463
NM_001044165.1 0.00010 0.00010 0.00010 0.00010 0.00010 172.44245 0.00010 0.00104
NM_001044171.1 0.00164 0.07570 0.12826 0.00205 0.00512 0.00231 0.20546 0.01881
NM_001044177.1 0.05565 0.04165 0.06655 0.01920 0.03630 0.02635 0.02406 0.16443
NM_001044179.1 0.03806 0.01918 0.01965 0.01384 0.00812 0.06045 0.01222 0.02607
NM_001044183.1 0.03530 0.01138 0.01371 0.00366 0.01669 0.02477 0.01561 0.00824
NM_001044191.1 0.00142 0.01118 0.01214 0.00640 0.01382 0.00855 0.01089 0.01862
NM_001044195.1 0.02119 0.02472 0.02873 0.04229 0.10410 0.09266 0.06550 0.11849
NM_001044197.1 0.05714 0.30879 0.04144 0.08663 0.01253 0.05122 0.10865 0.04980
NM_001044199.1 0.03785 0.01428 0.04095 0.01616 0.03783 0.09048 0.03948 0.02621
NM_001044203.1 0.01808 0.21352 0.01800 999.00000 0.03891 0.00358 0.07588 0.02435
NM_001044213.1 0.01848 0.00584 0.01617 0.00508 0.01024 0.01516 0.01523 0.01201
NM_001045492.1 0.16691 0.00197 0.03137 0.06553 0.04746 0.02247 999.00000 0.00425
NM_001046638.1 999.00000 0.00680 0.06301 0.05840 569.97957 0.00933 0.00350 0.28820
NM_001046639.1 0.11910 0.07830 0.02338 0.00677 0.09683 0.03634 0.00976 0.06213
NM_001046642.1 0.01624 0.03781 0.01029 0.01201 0.00469 0.00887 0.00569 0.00531
NM_001046643.1_2 0.01627 0.00995 0.02014 0.01810 0.01441 0.01160 0.02997 0.01684
NM_001046644.1 0.01139 0.00538 0.00500 0.00580 0.00472 0.01891 0.01188 0.00704
NM_001046645.1 0.00159 0.05881 0.00858 0.01069 0.00861 0.01292 155.88343 0.00258
NM_001046647.1 0.02880 0.00181 0.04353 0.02475 0.01398 0.00987 0.02203 0.01162
NM_001046650.1 0.20381 0.00728 0.00540 0.15969 0.00146 0.00132 0.04029 0.03736
NM_001046651.1 0.00993 0.00010 0.00928 0.01670 0.02717 0.00024 0.00015 0.00366
NM_001046652.1 0.00099 0.00532 0.01648 0.00023 0.00689 0.00368 0.00285 0.03560
NM_001046654.1 0.00869 0.02400 0.01850 0.00884 0.00706 0.01067 0.02932 0.01810
NM_001046655.2 0.05364 0.04353 0.08814 0.04333 0.06816 0.04867 0.04865 0.12217
NM_001046656.1 0.00905 0.03773 0.01161 0.03921 0.01286 0.05997 0.22647 0.00094
NM_001046658.1 0.00721 0.01391 0.08263 0.02209 0.00698 0.03015 0.01525 0.01720
NM_001046659.1 0.05141 0.01007 0.08964 0.03887 0.02252 0.30907 0.07505 0.07688
NM_001046660.1 0.00010 0.00010 0.00485 0.00518 0.00010 0.00010 0.00010 0.00313
NM_001046661.1 0.01255 0.00647 0.00688 0.02035 0.01183 0.00350 0.00518 0.00517
NM_001046662.1 0.01130 158.88177 0.00415 0.00849 0.00636 0.03339 0.00698 0.01893
NM_001046663.1 0.01263 0.01711 0.01794 0.00124 0.01204 0.00488 0.02596 0.00085
NM_001046666.1 0.05854 0.05118 0.01685 0.04466 0.05148 0.04780 0.02365 0.01971
NM_001046667.1 0.07230 0.01515 0.00956 0.04059 0.00673 0.04028 0.01910 0.00681
NM_001046669.2 0.02517 0.00281 0.01637 0.00727 0.02376 0.01510 0.01007 0.02643
NM_001046673.1 0.05560 0.02759 0.04368 0.03226 0.01892 0.00010 0.05806 0.00354
NM_001046677.1 0.31838 0.00958 0.02874 0.06861 0.01416 0.05259 0.11017 0.00862
NM_001046678.1 0.28823 0.08823 0.04634 0.11835 0.12011 0.06761 0.09263 0.00722
NM_001046682.1 0.00115 0.00920 0.00010 0.00279 0.00232 0.07379 0.15927 0.00031
NM_001046688.1 0.03275 0.01535 0.04040 0.01979 0.01559 0.01445 0.03268 0.01640
NM_001046691.1 0.00565 0.00478 0.00760 0.00556 0.05096 0.02267 0.00587 0.00281
NM_001046692.1 0.11285 0.02308 0.00899 0.06923 0.08973 0.03150 0.15933 0.41630
NM_001046698.1 0.01936 0.00064 0.01237 0.17048 0.00909 0.00049 0.02178 0.02634
NM_001046699.1 0.00010 0.02079 0.04710 0.00010 0.00010 0.06330 0.02090 0.00010
NM_001046701.1 0.00712 0.00308 0.00730 0.00540 0.00481 0.00788 0.00182 0.00578
NM_001046702.1 0.05205 0.03457 0.03716 0.04248 0.01096 0.01552 0.03324 0.01355
NM_001046703.1 0.00010 0.00010 0.00898 0.00819 0.00453 0.00010 0.00010 0.00622
NM_001046705.1 0.00877 0.00938 0.01525 0.02277 0.01563 0.00422 0.01197 0.01067
NM_001046707.1 0.02916 0.08775 0.01300 0.04605 300.53256 0.00061 0.00617 0.01330
NM_001046708.1 2.54248 0.00860 0.00028 0.64101 0.00031 0.00010 0.00078 0.00437
NM_001046711.1 0.03790 0.08247 0.07311 0.06195 0.06919 0.10812 0.05502 0.03280
NM_001046714.1 0.00010 10.40881 0.00145 0.00256 0.08786 0.00145 0.00379 0.00712
NM_001046719.1 0.06004 0.02127 0.01282 0.00072 0.02691 0.02494 0.01423 0.00347
NM_001046720.1 0.00640 0.01335 0.05657 0.04117 20.25140 0.00751 0.02632 0.00099
NM_001046721.1 0.02301 0.00018 999.00000 0.09081 0.03862 0.02218 999.00000 0.00106
NM_001046726.1 0.03841 0.00075 1.32040 0.03425 0.00042 0.00128 0.05355 0.01522
NM_001046729.1 0.01832 0.02782 0.01310 0.01598 0.01201 0.01463 0.02881 0.01478
NM_001046731.1 0.03383 0.06033 0.00903 0.02075 0.01544 0.02611 0.00162 0.03031
NM_001046733.1 0.06082 0.02082 0.00868 0.01861 0.03882 0.00545 0.02380 0.01590
NM_001046735.1 0.11822 0.00990 0.23425 0.13663 0.02197 0.03066 0.02989 0.03378
NM_001046737.1 0.01435 0.00383 0.00010 0.02249 0.00072 0.05148 0.02863 0.00058
NM_001046739.1 0.00871 0.00113 0.01349 0.00602 0.00514 0.00010 0.00375 0.00220
NM_001046740.1 0.46520 0.06277 0.00877 0.00106 0.09174 0.07176 0.06458 0.08069
NM_001046741.1 0.01329 0.01367 999.00000 0.01284 0.00961 0.03512 0.01922 0.00281
NM_001046744.1 0.00010 968.72371 0.00487 0.00732 0.00906 0.00765 0.01396 0.01087
NM_001046745.1 0.14609 0.02145 0.01169 0.03714 0.01547 0.12584 0.01183 0.02877
NM_001046747.1 0.00030 0.06189 0.03320 0.05001 0.07159 0.01411 0.08289 0.02653
NM_001046748.1 0.03861 0.07942 0.03129 0.03659 0.03049 0.05215 0.02595 0.03754
NM_001046749.1 0.05726 0.02636 0.01234 0.00491 0.01415 0.00949 0.03148 0.06756
NM_001046752.1 0.00071 0.00902 0.02858 0.01232 0.03738 0.02833 0.07568 0.06140
NM_001046754.1 0.03870 0.19510 0.02812 0.06510 0.04590 0.02722 0.05407 0.00942
NM_001046755.1 0.00088 0.00010 0.01106 999.00000 0.03571 999.00000 0.02456 2.69187
NM_001046757.1 0.04595 0.02045 0.02010 0.01642 0.01852 0.02469 0.01397 0.02918
NM_001046758.1 0.02796 0.00663 0.01504 0.00669 0.00731 0.01519 0.00885 0.00343
NM_001046765.1 0.08655 0.16800 0.08828 0.02425 0.05947 0.13134 0.00535 0.04904
NM_001046767.1 0.04206 0.02812 0.04080 0.13696 0.09835 0.02686 0.04040 0.05375
NM_001046768.1 0.07521 0.03311 0.06485 0.08313 0.03605 0.02813 0.05001 0.01773
NM_001046770.1 0.05215 0.05359 0.00161 0.00138 0.09391 0.00265 0.00123 0.00239
NM_001046773.1 0.00842 0.00378 0.00364 0.00128 0.00655 0.00774 0.00496 0.00103
NM_001046776.1 0.00581 0.00010 0.00010 0.00179 0.00010 0.00929 0.00010 0.01177
NM_001046777.1 0.00428 0.02164 0.01325 0.00525 0.01006 0.01065 0.01185 0.01980
NM_001046780.1 0.02160 0.00465 11.59819 27.92970 0.16325 0.01116 0.01743 0.01540
NM_001046781.1 0.01047 0.00850 1.69215 0.02468 0.02966 0.00718 3.37720 0.00926
NM_001046786.1 0.00918 0.02281 0.01170 0.01520 0.04970 0.00655 0.04881 0.01542
NM_001046787.1 0.01694 0.02504 0.01333 0.05821 0.02470 0.04121 0.00843 0.02699
NM_001046789.1 0.00986 0.00511 0.00717 0.01402 125.83254 0.00010 0.01314 0.06058
NM_001046790.1 0.01988 0.03349 0.02233 0.05825 0.01321 0.01250 0.02848 0.06179
NM_001046791.1 0.01454 0.01622 0.03906 999.00000 0.00472 0.22930 0.02498 0.00812
NM_001046792.1 0.00718 0.01198 0.01610 0.01664 0.00865 0.38692 0.04618 0.05562
NM_001046796.1 0.04276 0.04479 0.00480 0.00010 0.00334 0.00869 0.00423 0.03903
NM_001046801.1 0.05655 0.09027 0.06615 0.00260 0.02733 0.06100 0.06345 0.19598
NM_001046804.1 0.03383 999.00000 0.00688 0.06050 0.03107 0.01939 0.02368 0.03440
NM_001046805.1 0.00010 0.00010 0.00010 0.01300 0.00010 0.00010 0.00257 0.01326
NM_001046808.1 0.02036 0.05932 0.04527 0.02208 0.01485 0.02742 0.04189 0.06296
NM_001046809.1 0.00284 0.00010 0.01036 0.00235 0.00010 0.01305 0.00010 0.00901
NM_001046810.1 0.00010 0.01015 0.00892 0.00327 0.01408 0.00010 0.01717 0.00999
NM_001046813.1 0.01593 0.01539 0.02428 0.03205 0.01698 0.03678 0.03996 0.01531
NM_001046815.1 0.00258 0.00010 0.00010 0.01646 0.00010 0.00261 0.00215 0.00682
NM_001046816.1 0.00970 0.02451 0.03028 0.02523 0.04604 0.01834 0.01334 0.00476
NM_001046818.1 0.12203 200.40437 0.00043 0.11125 0.00776 0.03255 0.01021 0.01471
NM_001046821.1 0.02595 0.02462 0.01524 0.06512 0.01916 0.00598 0.01496 0.02517
NM_001046822.1 0.05635 0.05881 0.05330 0.07976 0.02378 0.07856 0.03133 0.03351
NM_001046827.1 0.15326 0.05195 0.06793 0.10514 0.03250 0.06401 0.04807 0.05792
NM_001046828.1 0.01154 0.03920 0.01112 0.02084 0.02652 0.02372 0.05254 0.02662
NM_001046832.1 0.13331 0.03180 0.03252 0.05561 0.02221 0.01283 0.03224 0.03097
NM_001046833.1 0.01532 0.01111 0.03464 0.07059 0.01824 0.06171 0.07945 0.05905
NM_001046834.1 999.00000 0.01342 0.01275 0.04985 0.01141 0.13131 0.02973 0.01336
NM_001046835.1 0.06515 0.03967 0.02990 0.02501 0.04318 0.04065 0.04594 0.05631
NM_001046836.1 0.06948 0.07122 0.03072 0.03498 0.04997 0.04111 0.07086 0.03084
NM_001046837.1 0.01404 0.02743 0.03251 0.01392 0.02125 0.02514 0.00938 0.02998
NM_001046839.1 0.00723 0.01685 0.05005 0.07499 0.03077 0.05262 0.01309 0.11510
NM_001046841.1 0.05928 0.01888 0.01452 0.05966 0.03584 0.01405 0.05642 0.10254
NM_001046844.1 0.08521 0.01297 0.06244 0.04263 0.02295 0.04436 0.02071 0.06255
NM_001046845.1 0.12267 0.06084 0.03253 0.07224 0.06649 0.11023 0.07878 0.03764
NM_001046848.1 0.00384 0.05338 0.01511 0.00667 0.00675 0.00010 0.00162 2.97434
NM_001046850.1 0.04633 0.06182 0.05563 0.02909 0.03876 0.05569 0.05817 0.04135
NM_001046851.1 0.06455 0.02675 0.03141 0.04587 0.01797 0.02642 0.06060 0.01301
NM_001046852.1_2 0.00948 0.04880 0.09333 0.06441 0.00575 0.01735 0.07822 0.50177
NM_001046853.1 0.01502 0.06058 0.06915 0.06109 0.06591 0.02537 0.06926 0.07721
NM_001046854.1 0.01235 0.07361 0.08436 0.32575 0.06106 0.07388 0.28078 0.08241
NM_001046855.1 0.01969 0.07037 0.01743 0.02138 0.01190 0.01240 0.01765 0.02132
NM_001046857.1 0.00724 0.00150 0.01954 0.00466 0.00935 0.02903 0.00981 0.00690
NM_001046859.1 0.00092 0.02866 0.01045 0.00010 0.01093 0.00010 0.00182 0.01108
