GeneID B_mori C_ce GeneIDcce D_pl GeneIDdpl H_mel GeneIDhmel L_ac GeneIDlac L_sin GeneIDlsin P_ma GeneIDpma P_se GeneIDpse
NM_001043473.1 55.500 52.139 cce302661.8.mRNA 56.247 DPOGS206444-TA 56.098 HMEL013999g1.t1 55.348 lac674.4.mRNA 56.724 leptidea_sinapisT00000001525 58.947 KPJ15210.1 56.390 pse5300.2
NM_001043475.1 57.012 46.914 cce9708.4.mRNA 46.049 DPOGS207853-TA 50.731 HMEL015324g1.t1 58.629 lac2766.5.mRNA 50.858 leptidea_sinapisT00000012013 48.254 KPJ08604.1 45.673 pse664.6
NM_001043480.1 56.332 50.528 cce3347.11.mRNA 56.420 DPOGS209203-TA 57.060 HMEL034406g1.t1 59.743 lac24590.6.mRNA 55.218 leptidea_sinapisT00000001223 44.861 KPJ16052.1 50.940 pse1268.27
NM_001043482.1 61.000 58.528 cce6371.1.mRNA 51.825 DPOGS203830-TA 47.336 HMEL006959g1.t1 51.208 lac270.83.mRNA 52.191 leptidea_sinapisT00000016959 59.435 KPJ16707.1 61.000 pse289.68
NM_001043485.1 44.041 53.901 cce11624.2.mRNA 45.897 DPOGS206032-TA 44.743 HMEL013480g1.t1 48.586 lac944.54.mRNA 53.650 leptidea_sinapisT00000000919 47.256 KPJ06330.1 49.228 pse1410.63
NM_001043492.1 57.392 51.950 cce4929.3.mRNA 59.826 DPOGS202781-TA 53.352 HMEL009294g1.t1 59.444 lac6812.2.mRNA 61.000 leptidea_sinapisT00000010874 54.816 KPJ06851.1 56.829 pse281.12
NM_001043494.1 53.763 44.262 cce3535.5.mRNA 60.620 DPOGS209689-TA 58.405 HMEL035650g1.t1 47.252 lac1090.5.mRNA 54.079 leptidea_sinapisT00000017869 58.712 KPJ08827.1 45.056 pse729.27
NM_001043506.1 57.536 52.940 cce636.7.mRNA 60.026 DPOGS205799-TA 58.321 HMEL012052g1.t1 56.683 lac704.8.mRNA 57.286 leptidea_sinapisT00000019086 52.648 KPJ11142.1 50.401 pse553.17
NM_001043507.1 61.000 58.511 cce19540.1.mRNA 61.000 DPOGS210727-TA 56.769 HMEL006432g1.t1 48.794 lac2007.10.mRNA 53.919 leptidea_sinapisT00000009826 51.067 KPJ13157.1 58.054 pse3855.1
NM_001043508.1 61.000 56.547 cce7317.2.mRNA 61.000 DPOGS215072-TA 56.351 HMEL010545g1.t1 59.692 lac4479.17.mRNA 53.861 leptidea_sinapisT00000007960 57.676 KPJ11484.1 54.071 pse1974.21
NM_001043516.1 58.839 50.784 cce303127.8.mRNA 58.244 DPOGS208900-TA 60.132 HMEL037068g1.t1 57.830 lac511.11.mRNA 59.888 leptidea_sinapisT00000015020 54.763 KPJ18985.1 56.818 pse1174.2
NM_001043520.1 55.743 47.749 cce5445.17.mRNA 56.306 DPOGS207471-TA 50.906 HMEL004675g1.t1 52.545 lac1803.107.mRNA 46.315 leptidea_sinapisT00000003358 44.750 KPJ16925.1 50.263 pse1348.21
NM_001043522.1 52.762 49.516 cce3313.2.mRNA 57.278 DPOGS213279-TA 58.751 HMEL016700g1.t1 61.000 lac1803.40.mRNA 52.868 leptidea_sinapisT00000005218 60.092 KPJ17177.1 55.161 pse2658.29
NM_001043526.1 57.568 57.509 cce4023.3.mRNA 56.087 DPOGS204675-TA 53.213 HMEL014643g1.t1 59.680 lac1915.8.mRNA 52.449 leptidea_sinapisT00000007128 57.578 KPJ10744.1 52.857 pse111.5
NM_001043530.2 56.082 47.969 cce1615.2.mRNA 54.670 DPOGS201998-TA 59.751 HMEL002633g1.t1 54.998 lac9334.1.mRNA 57.672 leptidea_sinapisT00000017839 54.416 KPJ11106.1 57.325 pse1051.16
NM_001043531.1 53.347 57.465 cce1451.16.mRNA 54.371 DPOGS215664-TA 60.171 HMEL014132g1.t1 59.623 lac1412.21.mRNA 51.946 leptidea_sinapisT00000000079 57.422 KPJ16463.1 58.723 pse117.18
NM_001043532.1 57.439 54.341 cce76446.5.mRNA 57.269 DPOGS215686-TA 53.839 HMEL004070g1.t1 53.548 lac1000.9.mRNA 51.216 leptidea_sinapisT00000013276 55.712 KPJ07347.1 52.832 pse2058.6
NM_001043534.1 61.000 51.400 cce4649.4.mRNA 61.000 DPOGS212277-TA 48.929 HMEL006654g1.t1 53.887 lac182.6.mRNA 50.810 leptidea_sinapisT00000020894 61.000 KPJ17142.1 55.142 pse245.16
NM_001043535.2 49.512 44.410 cce515.1.mRNA 55.993 DPOGS213791-TA 52.411 HMEL022169g1.t1 55.598 lac1402.2.mRNA 61.000 leptidea_sinapisT00000017604 58.717 KPJ13507.1 52.121 pse1394.2
NM_001043542.1 35.226 35.680 cce1023.11.mRNA 58.241 DPOGS203646-TA 52.970 HMEL008663g1.t1 38.325 lac35083.1.mRNA 40.709 leptidea_sinapisT00000007748 47.063 KPJ20327.1 40.258 pse4782.4
NM_001043543.1 54.657 51.864 cce5553.6.mRNA 51.113 DPOGS213082-TA 52.781 HMEL031187g1.t1 54.256 lac807.14.mRNA 49.800 leptidea_sinapisT00000006581 56.087 KPJ06697.1 45.508 pse1095.56
NM_001043549.1 52.999 44.961 cce132.4.mRNA 58.902 DPOGS213828-TA 56.231 HMEL014191g1.t1 58.439 lac244.11.mRNA 57.455 leptidea_sinapisT00000003643 55.273 KPJ17168.1 56.888 pse2183.14
NM_001043553.1 60.970 61.000 cce896.1.mRNA 56.654 DPOGS208534-TA 57.116 HMEL015732g1.t1 55.928 lac8792.29.mRNA 53.828 leptidea_sinapisT00000005650 58.017 KPJ12039.1 53.569 pse5523.5
NM_001043568.1 54.064 55.588 cce3582.12.mRNA 56.324 DPOGS200833-TA 56.191 HMEL031698g1.t1 59.611 lac8846.6.mRNA 59.953 leptidea_sinapisT00000007090 56.070 KPJ07033.1 56.673 pse2452.5
NM_001043583.1 57.857 48.541 cce2423.12.mRNA 51.757 DPOGS212411-TA 56.566 HMEL012354g1.t1 57.429 lac233.28.mRNA 55.820 leptidea_sinapisT00000004937 52.374 KPJ07976.1 50.151 pse1406.26
NM_001043585.1 46.964 51.655 cce3246.8.mRNA 61.000 DPOGS213029-TA 45.505 HMEL004700g1.t1 57.026 lac586.75.mRNA 49.056 leptidea_sinapisT00000014708 53.295 KPJ07838.1 49.384 pse200.56
NM_001043587.1 45.257 44.431 cce5061.3.mRNA 57.489 DPOGS208398-TA 51.997 HMEL021972g5.t1 47.740 lac2152.51.mRNA 55.298 leptidea_sinapisT00000004028 61.000 KPJ09673.1 61.000 pse198.29
NM_001043589.1 54.660 45.021 cce870.1.mRNA 58.502 DPOGS215921-TA 56.384 HMEL031882g1.t1 55.027 lac222.36.mRNA 56.734 leptidea_sinapisT00000019992 55.171 KPJ09734.1 56.124 pse997.7
NM_001043594.1 51.343 46.064 cce1903.14.mRNA 51.155 DPOGS213670-TA 45.054 HMEL016424g1.t1 52.527 lac162024.6.mRNA 43.476 leptidea_sinapisT00000014812 48.984 KPJ12061.1 47.773 pse1739.3
NM_001043595.1 61.000 44.402 cce7433.4.mRNA 57.963 DPOGS206964-TA 54.926 HMEL009235-RA 59.881 lac949.37.mRNA 60.573 leptidea_sinapisT00000014874 57.487 KPJ11634.1 60.214 pse7655.3
NM_001043609.2 56.378 55.199 cce3309.2.mRNA 45.626 DPOGS209220-TA 59.408 HMEL015740g1.t1 45.718 lac269.61.mRNA 54.969 leptidea_sinapisT00000013957 54.417 KPJ14708.1 59.100 pse3633.1
NM_001043610.1 51.744 50.066 cce1896.3.mRNA 52.623 DPOGS210046-TA 54.776 HMEL005377g1.t1 52.685 lac1529.3.mRNA 56.941 leptidea_sinapisT00000017657 51.266 KPJ18355.1 46.832 pse6193.14
NM_001043619.1 49.982 57.556 cce3347.10.mRNA 55.339 DPOGS209134-TA 55.881 HMEL014780g1.t1 40.045 lac24590.4.mRNA 57.434 leptidea_sinapisT00000008836 48.758 KPJ16050.1 41.391 pse1268.29
NM_001043622.1 56.446 54.416 cce16020.1.mRNA 56.818 DPOGS213135-TA 59.738 HMEL010360g1.t1 60.313 lac807.43.mRNA 55.275 leptidea_sinapisT00000004785 53.771 KPJ06666.1 55.129 pse4546.2
NM_001043625.1 54.139 44.798 cce25616.7.mRNA 54.630 DPOGS206417-TA 52.578 HMEL007598g1.t1 60.521 lac4025.16.mRNA 46.387 leptidea_sinapisT00000003742 44.430 KPJ20465.1 50.446 pse3333.3
NM_001043629.1 47.397 46.471 cce1353.2.mRNA 51.643 DPOGS215839-TA 48.436 HMEL030277g1.t1 52.619 lac2075.6.mRNA 55.648 leptidea_sinapisT00000001442 54.622 KPJ15099.1 54.003 pse480.37
NM_001043634.1 53.144 58.291 cce3381.13.mRNA 57.026 DPOGS208226-TA 59.434 HMEL008375g1.t1 55.366 lac5.52.mRNA 57.356 leptidea_sinapisT00000010741 53.008 KPJ12909.1 48.907 pse853.14
NM_001043637.1 61.000 48.156 cce447.10.mRNA 47.077 DPOGS202559-TA 42.567 HMEL013192g1.t1 56.667 lac8354.6.mRNA 46.081 leptidea_sinapisT00000012864 42.303 KPJ19702.1 44.070 pse1468.3
NM_001043643.1 54.652 49.092 cce4599.2.mRNA 50.057 DPOGS211106-TA 50.738 HMEL012452g1.t1 43.850 lac723.48.mRNA 51.326 leptidea_sinapisT00000009617 51.145 KPJ06471.1 50.423 pse1378.2
NM_001043646.1 50.084 57.737 cce2028.7.mRNA 55.416 DPOGS206427-TA 57.369 HMEL030666g1.t1 53.219 lac109.4.mRNA 50.258 leptidea_sinapisT00000000054 47.677 KPJ17993.1 51.685 pse903.5
NM_001043649.1 61.000 53.550 cce15780.3.mRNA 52.299 DPOGS208928-TA 50.922 HMEL037093g1.t1 55.399 lac90767.3.mRNA 59.117 leptidea_sinapisT00000019270 49.329 KPJ19307.1 57.709 pse13318.5
NM_001043655.1 56.658 57.693 cce6195.3.mRNA 54.603 DPOGS210810-TA 49.061 HMEL016064g1.t1 54.216 lac1792.3.mRNA 57.313 leptidea_sinapisT00000015495 58.160 KPJ12677.1 60.756 pse715.2
NM_001043658.1 45.874 46.177 cce521.11.mRNA 44.956 DPOGS202160-TA 45.063 HMEL003696g1.t1 41.934 lac5524.7.mRNA 46.426 leptidea_sinapisT00000002514 43.525 KPJ17829.1 39.025 pse1783.5
NM_001043661.1 51.821 50.455 cce1353.4.mRNA 50.687 DPOGS215840-TA 47.707 HMEL011655g1.t1 52.607 lac2075.8.mRNA 49.923 leptidea_sinapisT00000018257 50.742 KPJ16629.1 51.031 pse480.35
NM_001043670.1 53.573 51.436 cce332.15.mRNA 47.784 DPOGS213493-TA 54.146 HMEL016838g1.t1 51.393 lac868.23.mRNA 61.000 leptidea_sinapisT00000008395 52.756 KPJ07713.1 42.031 pse700.9
NM_001043673.1 45.277 43.384 cce8814.2.mRNA 52.954 DPOGS208800-TA 43.897 HMEL005560g1.t1 47.247 lac3393.1.mRNA 52.445 leptidea_sinapisT00000015532 55.149 KPJ14551.1 43.729 pse1387.10
NM_001043676.1 49.563 51.842 cce949.19.mRNA 53.054 DPOGS208069-TA 53.326 HMEL003345g1.t1 51.175 lac1576.10.mRNA 53.925 leptidea_sinapisT00000016866 48.950 KPJ13582.1 45.530 pse1216.4
NM_001043685.1 49.810 46.783 cce91164.11.mRNA 48.799 DPOGS214364-TA 42.848 HMEL006357g1.t1 54.366 lac62.79.mRNA 49.294 leptidea_sinapisT00000008462 51.998 KPJ10465.1 54.970 pse279.13
NM_001043688.1 55.780 53.997 cce23510.5.mRNA 51.852 DPOGS203823-TA 46.084 HMEL013336g1.t1 43.597 lac580.73.mRNA 48.763 leptidea_sinapisT00000015361 47.197 KPJ16727.1 53.978 pse289.46
NM_001043691.1 50.490 56.682 cce302492.1.mRNA 52.790 DPOGS216064-TA 48.350 HMEL008921g1.t1 59.065 lac779.1.mRNA 54.045 leptidea_sinapisT00000014026 52.277 KPJ13865.1 55.457 pse67.21
NM_001043694.1 52.423 53.151 cce302748.3.mRNA 61.000 DPOGS204848-TA 55.281 HMEL037633g1.t1 55.564 lac209.20.mRNA 55.792 leptidea_sinapisT00000018340 57.266 KPJ14297.1 57.380 pse1134.11
NM_001043706.1 51.698 47.468 cce12299.4.mRNA 52.178 DPOGS213564-TA 53.183 HMEL010864g1.t1 52.410 lac161966.1.mRNA 61.000 leptidea_sinapisT00000005229 55.918 KPJ07294.1 48.925 pse902.9
NM_001043712.1 57.341 49.035 cce83.15.mRNA 51.795 DPOGS200552-TA 53.031 HMEL016870g1.t1 57.208 lac1486.17.mRNA 58.443 leptidea_sinapisT00000020509 54.276 KPJ10024.1 51.705 pse1180.5
NM_001043721.1 60.502 52.585 cce5311.1.mRNA 54.835 DPOGS200224-TA 51.330 HMEL017528-RA 60.320 lac41.29.mRNA 49.970 leptidea_sinapisT00000009424 57.260 KPJ06622.1 58.089 pse485.9
NM_001043724.1 57.853 53.142 cce288.9.mRNA 55.284 DPOGS203219-TA 56.712 HMEL006496g1.t1 55.758 lac751.23.mRNA 58.241 leptidea_sinapisT00000012681 57.091 KPJ19789.1 50.555 pse188.7
NM_001043730.1 58.216 49.832 cce957.1.mRNA 49.739 DPOGS214068-TA 58.145 HMEL012862g4.t1 39.906 lac161998.21.mRNA 56.087 leptidea_sinapisT00000012449 58.743 KPJ11197.1 61.000 pse2263.20
NM_001043746.1 55.938 46.360 cce1264.6.mRNA 50.030 DPOGS212379-TA 53.315 HMEL003945g1.t1 55.400 lac157.15.mRNA 47.809 leptidea_sinapisT00000010955 56.872 KPJ07453.1 49.038 pse2283.3
NM_001043750.2 56.808 49.186 cce992.8.mRNA 61.000 DPOGS207374-TA 49.541 HMEL012241g3.t1 53.854 lac256.20.mRNA 54.257 leptidea_sinapisT00000020706 53.377 KPJ18759.1 56.617 pse1139.9
NM_001043752.1 53.957 54.176 cce3672.4.mRNA 50.890 DPOGS212928-TA 51.797 HMEL037503g1.t1 51.174 lac1131.6.mRNA 61.000 leptidea_sinapisT00000001831 47.442 KPJ08011.1 54.760 pse8961.5
NM_001043754.1 52.359 56.612 cce3123.7.mRNA 55.215 DPOGS209150-TA 51.415 HMEL010028g1.t1 50.959 lac269.52.mRNA 53.989 leptidea_sinapisT00000000179 50.246 KPJ19862.1 42.313 pse358.9
NM_001043756.4 50.525 48.369 cce9816.6.mRNA 44.677 DPOGS201418-TA 53.164 HMEL009068g1.t1 44.211 lac1423.14.mRNA 50.144 leptidea_sinapisT00000014816 50.078 KPJ09434.1 44.985 pse679.9
NM_001043758.1 51.489 47.695 cce597.6.mRNA 50.984 DPOGS211910-TA 55.378 HMEL017706g1.t1 61.000 lac1229.6.mRNA 45.199 leptidea_sinapisT00000000677 61.000 KPJ16214.1 52.577 pse1133.19
NM_001043760.1 61.000 58.754 cce6395.8.mRNA 54.104 DPOGS210861-TA 57.640 HMEL007829g1.t1 61.000 lac59.3.mRNA 59.581 leptidea_sinapisT00000000038 46.509 KPJ12671.1 53.346 pse87396.1
NM_001043762.1 47.810 52.580 cce1105.1.mRNA 50.459 DPOGS204004-TA 49.602 HMEL011246g1.t1 54.665 lac407.12.mRNA 55.660 leptidea_sinapisT00000004012 52.705 KPJ10978.1 51.537 pse884.6
NM_001043766.1 43.757 49.520 cce2246.5.mRNA 49.953 DPOGS212639-TA 53.944 HMEL002544g1.t1 57.981 lac49.49.mRNA 52.750 leptidea_sinapisT00000005162 51.587 KPJ19511.1 47.974 pse28633.25
NM_001043776.1 48.576 55.336 cce12522.1.mRNA 56.662 DPOGS214178-TA 46.592 HMEL007326g1.t1 56.795 lac66.80.mRNA 60.194 leptidea_sinapisT00000016257 51.106 KPJ15162.1 51.567 pse165.32
NM_001043780.1 61.000 57.739 cce5305.3.mRNA 54.106 DPOGS209700-TA 55.132 HMEL009836g1.t1 49.665 lac193.12.mRNA 52.597 leptidea_sinapisT00000018149 57.240 KPJ20128.1 45.085 pse2673.9
NM_001043788.1 54.694 52.658 cce165326.9.mRNA 52.987 DPOGS207421-TA 54.492 HMEL002070g1.t1 48.742 lac968.7.mRNA 60.027 leptidea_sinapisT00000019570 61.000 KPJ12125.1 48.549 pse212.1
NM_001043790.1 57.463 48.887 cce5307.18.mRNA 54.788 DPOGS203183-TA 50.922 HMEL035338g1.t1 48.591 lac54.6.mRNA 58.328 leptidea_sinapisT00000003304 52.312 KPJ18424.1 51.508 pse6590.5
NM_001043792.1 52.023 53.114 cce12270.4.mRNA 48.325 DPOGS205845-TA 50.891 HMEL009926g1.t1 37.803 lac3523.1.mRNA 50.488 leptidea_sinapisT00000002572 48.515 KPJ15925.1 53.316 pse8312.3
NM_001043798.1 61.000 54.212 cce320.7.mRNA 52.124 DPOGS208705-TA 51.917 HMEL015245g1.t1 52.123 lac581.3.mRNA 54.778 leptidea_sinapisT00000010018 57.106 KPJ17752.1 50.124 pse4234.6
NM_001043800.1 53.215 52.953 cce980.6.mRNA 45.718 DPOGS210524-TA 52.180 HMEL016341g1.t1 46.935 lac354.29.mRNA 50.693 leptidea_sinapisT00000017044 48.669 KPJ07524.1 44.758 pse2148.3
NM_001043802.1 56.531 45.594 cce7546.3.mRNA 48.920 DPOGS208056-TA 56.738 HMEL012133g1.t1 55.329 lac1289.11.mRNA 42.445 leptidea_sinapisT00000000100 47.740 KPJ16499.1 46.347 pse102.14
NM_001043804.2 58.647 52.081 cce6723.6.mRNA 55.347 DPOGS211218-TA 51.255 HMEL012481g1.t1 47.885 lac723.23.mRNA 47.504 leptidea_sinapisT00000001328 52.442 KPJ06503.1 53.782 pse1378.25
NM_001043808.1 38.770 58.199 cce325.4.mRNA 55.328 DPOGS208785-TA 51.128 HMEL004185g1.t1 49.818 lac4291.5.mRNA 59.091 leptidea_sinapisT00000018419 61.000 KPJ19970.1 44.719 pse152.3
NM_001043824.1 54.640 61.000 cce1367.5.mRNA 53.035 DPOGS203171-TA 44.484 HMEL005789g1.t1 58.154 lac52413.2.mRNA 49.436 leptidea_sinapisT00000014525 44.502 KPJ06803.1 59.758 pse1836.10
NM_001043832.1 60.734 51.542 cce10635.1.mRNA 57.923 DPOGS211804-TA 60.844 HMEL033165g1.t2 56.915 lac4506.1.mRNA 56.801 leptidea_sinapisT00000000143 58.565 KPJ11833.1 61.000 pse920.1
NM_001043834.1 61.000 61.000 cce3547.5.mRNA 59.619 DPOGS215496-TA 60.767 HMEL008360g1.t1 60.920 lac160671.58.mRNA 55.289 leptidea_sinapisT00000020585 61.000 KPJ15604.1 61.000 pse119.22
NM_001043836.1 44.620 52.560 cce6852.2.mRNA 45.615 DPOGS208956-TA 50.756 HMEL014676g1.t1 48.625 lac511.8.mRNA 55.918 leptidea_sinapisT00000017876 56.977 KPJ18989.1 49.224 pse123.2
NM_001043844.1 56.078 53.558 cce689.1.mRNA 53.901 DPOGS213644-TA 51.172 HMEL004592g1.t1 54.004 lac494.3.mRNA 52.718 leptidea_sinapisT00000001196 55.252 KPJ19580.1 54.982 pse2241.2
NM_001043850.1 46.821 51.687 cce87.13.mRNA 61.000 DPOGS214087-TA 56.287 HMEL022601g1.t1 57.587 lac66.1.mRNA 56.092 leptidea_sinapisT00000010177 55.922 KPJ11870.1 50.033 pse3458.2
NM_001043858.1 56.218 55.386 cce1175.1.mRNA 54.181 DPOGS210542-TA 56.199 HMEL036277g1.t1 61.000 lac314.21.mRNA 56.161 leptidea_sinapisT00000010234 52.257 KPJ20161.1 54.258 pse565.8
NM_001043860.1 50.894 52.228 cce3074.2.mRNA 50.129 DPOGS205814-TA 51.288 HMEL011575g1.t1 51.191 lac101.5.mRNA 51.525 leptidea_sinapisT00000002089 54.662 KPJ11175.1 50.934 pse87410.2
NM_001043864.1 39.255 34.085 cce1806.17.mRNA 40.699 DPOGS200192-TA 42.588 HMEL017967g1.t1 37.302 lac448.3.mRNA 43.330 leptidea_sinapisT00000005166 38.044 KPJ18054.1 36.962 pse5384.3
NM_001043870.1 46.056 42.865 cce3081.1.mRNA 59.507 DPOGS206820-TA 58.758 HMEL011677-RA 50.464 lac2494.1.mRNA 43.963 leptidea_sinapisT00000008153 55.273 KPJ13408.1 46.885 pse3644.2
NM_001043872.1 53.877 55.296 cce597.3.mRNA 54.435 DPOGS211911-TA 50.500 HMEL017704g1.t1 44.286 lac1229.4.mRNA 59.665 leptidea_sinapisT00000004917 54.579 KPJ16212.1 54.265 pse1133.21
NM_001043874.1 61.000 61.000 cce230.2.mRNA 61.000 DPOGS210964-TA 60.236 HMEL025054-RA 60.856 lac5.95.mRNA 57.069 leptidea_sinapisT00000000695 55.857 KPJ14505.1 56.733 pse1249.36
NM_001043876.1 53.119 57.193 cce230.1.mRNA 55.590 DPOGS211000-TA 56.767 HMEL025053-RA 55.855 lac5.93.mRNA 54.489 leptidea_sinapisT00000007415 59.550 KPJ14507.1 59.535 pse1249.34
NM_001043878.2 56.658 49.092 cce5158.4.mRNA 49.839 DPOGS203846-TA 52.855 HMEL006931g1.t1 56.866 lac270.58.mRNA 52.218 leptidea_sinapisT00000004646 56.002 KPJ16678.1 54.077 pse289.89
NM_001043880.1 55.934 53.993 cce3611.5.mRNA 52.943 DPOGS203721-TA 48.612 HMEL008534g1.t1 61.000 lac991.64.mRNA 53.897 leptidea_sinapisT00000006533 60.221 KPJ08697.1 56.822 pse86800.20
NM_001043882.1 53.797 55.546 cce22817.4.mRNA 56.381 DPOGS210163-TA 55.407 HMEL011983g1.t1 58.543 lac1350.17.mRNA 54.043 leptidea_sinapisT00000011742 54.417 KPJ09639.1 58.539 pse198.4
